loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.57753 0.00000  0.51512 0.00000
   1  0.48680 0.00000  0.47254 0.00000
   2  0.46145 0.00000  0.45821 0.00000
   3  0.45132 0.00000  0.45155 0.00000
   4  0.44177 0.00000  0.44791 0.00000
   5  0.44325 0.00000  0.44593 0.00000
   6  0.43964 0.00000  0.44460 0.00000
   7  0.43997 0.00000  0.44365 0.00000
   8  0.44053 0.00000  0.44294 0.00000
   9  0.43859 0.00000  0.44240 0.00000
  10  0.44080 0.00000  0.44204 0.00000
  11  0.43771 0.00000  0.44176 0.00000
  12  0.44138 0.00000  0.44155 0.00000
  13  0.43588 0.00000  0.44135 0.00000
  14  0.44148 0.00000  0.44116 0.00000
  15  0.43563 0.00000  0.44103 0.00000
  16  0.43886 0.00000  0.44092 0.00000
  17  0.43680 0.00000  0.44080 0.00000
  18  0.43465 0.00000  0.44074 0.00000
  19  0.43786 0.00000  0.44067 0.00000
  20  0.44020 0.00000  0.44057 0.00000
  21  0.43662 0.00000  0.44048 0.00000
  22  0.43787 0.00000  0.44040 0.00000
  23  0.43552 0.00000  0.44035 0.00000
  24  0.43710 0.00000  0.44030 0.00000
  25  0.43602 0.00000  0.44024 0.00000
  26  0.43761 0.00000  0.44017 0.00000
  27  0.43802 0.00000  0.44012 0.00000
  28  0.43861 0.00000  0.44012 0.00000
  29  0.43390 0.00000  0.44010 0.00000
  30  0.43510 0.00000  0.44004 0.00000
  31  0.43589 0.00000  0.44002 0.00000
  32  0.43814 0.00000  0.43998 0.00000
  33  0.43620 0.00000  0.43995 0.00000
  34  0.43905 0.00000  0.43991 0.00000
  35  0.43461 0.00000  0.43986 0.00000
  36  0.43385 0.00000  0.43982 0.00000
  37  0.43519 0.00000  0.43979 0.00000
  38  0.43546 0.00000  0.43977 0.00000
  39  0.43481 0.00000  0.43977 0.00000
  40  0.43691 0.00000  0.43971 0.00000
  41  0.43496 0.00000  0.43966 0.00000
  42  0.43669 0.00000  0.43965 0.00000
  43  0.43290 0.00000  0.43960 0.00000
  44  0.43626 0.00000  0.43960 0.00000
  45  0.43762 0.00000  0.43957 0.00000
  46  0.43684 0.00000  0.43953 0.00000
  47  0.43554 0.00000  0.43951 0.00000
  48  0.43763 0.00000  0.43946 0.00000
  49  0.43549 0.00000  0.43942 0.00000
  50  0.43750 0.00000  0.43941 0.00000
  51  0.43500 0.00000  0.43939 0.00000
  52  0.43599 0.00000  0.43938 0.00000
  53  0.43881 0.00000  0.43940 0.00000
  54  0.43138 0.00000  0.43938 0.00000
  55  0.43235 0.00000  0.43936 0.00000
  56  0.43414 0.00000  0.43935 0.00000
  57  0.43680 0.00000  0.43933 0.00000
  58  0.43435 0.00000  0.43934 0.00000
  59  0.43909 0.00000  0.43933 0.00000
  60  0.43616 0.00000  0.43932 0.00000
  61  0.44074 0.00000  0.43930 0.00000
  62  0.43594 0.00000  0.43926 0.00000
  63  0.43531 0.00000  0.43925 0.00000
  64  0.43497 0.00000  0.43924 0.00000
  65  0.43373 0.00000  0.43926 0.00000
  66  0.43574 0.00000  0.43925 0.00000
  67  0.43923 0.00000  0.43924 0.00000
  68  0.43205 0.00000  0.43924 0.00000
  69  0.43646 0.00000  0.43925 0.00000
  70  0.43317 0.00000  0.43922 0.00000
  71  0.43516 0.00000  0.43921 0.00000
  72  0.43337 0.00000  0.43920 0.00000
  73  0.43732 0.00000  0.43923 0.00000
  74  0.43713 0.00000  0.43922 0.00000
  75  0.43811 0.00000  0.43921 0.00000
  76  0.43791 0.00000  0.43918 0.00000
  77  0.43636 0.00000  0.43916 0.00000
  78  0.43492 0.00000  0.43917 0.00000
  79  0.43406 0.00000  0.43912 0.00000
  80  0.43248 0.00000  0.43911 0.00000
  81  0.43560 0.00000  0.43909 0.00000
  82  0.43258 0.00000  0.43909 0.00000
  83  0.43575 0.00000  0.43909 0.00000
  84  0.43273 0.00000  0.43907 0.00000
  85  0.43452 0.00000  0.43909 0.00000
  86  0.43223 0.00000  0.43910 0.00000
  87  0.43558 0.00000  0.43908 0.00000
  88  0.43662 0.00000  0.43907 0.00000
  89  0.43633 0.00000  0.43909 0.00000
  90  0.43658 0.00000  0.43910 0.00000
  91  0.43338 0.00000  0.43910 0.00000
  92  0.43488 0.00000  0.43910 0.00000
  93  0.43699 0.00000  0.43908 0.00000
  94  0.43461 0.00000  0.43909 0.00000
  95  0.43674 0.00000  0.43908 0.00000
  96  0.43493 0.00000  0.43908 0.00000
  97  0.43447 0.00000  0.43907 0.00000
  98  0.43220 0.00000  0.43907 0.00000
  99  0.43766 0.00000  0.43908 0.00000
 100  0.43614 0.00000  0.43907 0.00000
 101  0.43706 0.00000  0.43907 0.00000
 102  0.43531 0.00000  0.43906 0.00000
 103  0.43653 0.00000  0.43907 0.00000
 104  0.43531 0.00000  0.43906 0.00000
 105  0.43668 0.00000  0.43906 0.00000
 106  0.43602 0.00000  0.43907 0.00000
 107  0.43521 0.00000  0.43907 0.00000
 108  0.43611 0.00000  0.43907 0.00000
 109  0.43127 0.00000  0.43908 0.00000
 110  0.43840 0.00000  0.43908 0.00000
 111  0.43956 0.00000  0.43910 0.00000
 112  0.43719 0.00000  0.43911 0.00000
 113  0.43642 0.00000  0.43910 0.00000
 114  0.43626 0.00000  0.43910 0.00000
 115  0.43677 0.00000  0.43910 0.00000
 116  0.43694 0.00000  0.43911 0.00000
 117  0.43711 0.00000  0.43911 0.00000
 118  0.43653 0.00000  0.43908 0.00000
 119  0.43923 0.00000  0.43909 0.00000
 120  0.43494 0.00000  0.43908 0.00000
 121  0.43679 0.00000  0.43908 0.00000
 122  0.43559 0.00000  0.43907 0.00000
 123  0.43194 0.00000  0.43908 0.00000
 124  0.43433 0.00000  0.43909 0.00000
 125  0.43624 0.00000  0.43906 0.00000
 126  0.43785 0.00000  0.43906 0.00000
 127  0.43754 0.00000  0.43907 0.00000
 128  0.43934 0.00000  0.43907 0.00000
 129  0.43658 0.00000  0.43908 0.00000
 130  0.43698 0.00000  0.43909 0.00000
 131  0.43743 0.00000  0.43909 0.00000
 132  0.43376 0.00000  0.43906 0.00000
 133  0.43502 0.00000  0.43908 0.00000
 134  0.43331 0.00000  0.43907 0.00000
 135  0.43650 0.00000  0.43907 0.00000
 136  0.43427 0.00000  0.43906 0.00000
 137  0.43863 0.00000  0.43905 0.00000
 138  0.43578 0.00000  0.43906 0.00000
 139  0.43881 0.00000  0.43906 0.00000
 140  0.43430 0.00000  0.43905 0.00000
 141  0.43342 0.00000  0.43904 0.00000
 142  0.43789 0.00000  0.43906 0.00000
 143  0.43841 0.00000  0.43906 0.00000
 144  0.43686 0.00000  0.43906 0.00000
 145  0.43770 0.00000  0.43906 0.00000
 146  0.43680 0.00000  0.43907 0.00000
 147  0.43555 0.00000  0.43907 0.00000
 148  0.43800 0.00000  0.43909 0.00000
 149  0.43288 0.00000  0.43908 0.00000
 150  0.43646 0.00000  0.43908 0.00000
 151  0.43674 0.00000  0.43907 0.00000
 152  0.43381 0.00000  0.43906 0.00000
 153  0.43511 0.00000  0.43904 0.00000
 154  0.43538 0.00000  0.43903 0.00000
 155  0.43520 0.00000  0.43903 0.00000
 156  0.43373 0.00000  0.43902 0.00000
 157  0.43485 0.00000  0.43903 0.00000
 158  0.43420 0.00000  0.43905 0.00000
 159  0.43607 0.00000  0.43906 0.00000
 160  0.43346 0.00000  0.43905 0.00000
 161  0.43903 0.00000  0.43905 0.00000
 162  0.43601 0.00000  0.43905 0.00000
 163  0.43803 0.00000  0.43907 0.00000
 164  0.43525 0.00000  0.43906 0.00000
 165  0.43330 0.00000  0.43906 0.00000
 166  0.43326 0.00000  0.43906 0.00000
 167  0.43417 0.00000  0.43905 0.00000
 168  0.43954 0.00000  0.43904 0.00000
 169  0.43610 0.00000  0.43905 0.00000
 170  0.43407 0.00000  0.43902 0.00000
 171  0.43469 0.00000  0.43900 0.00000
 172  0.43741 0.00000  0.43900 0.00000
 173  0.43501 0.00000  0.43900 0.00000
 174  0.43882 0.00000  0.43899 0.00000
 175  0.43121 0.00000  0.43898 0.00000
 176  0.43449 0.00000  0.43899 0.00000
 177  0.43845 0.00000  0.43898 0.00000
 178  0.43506 0.00000  0.43899 0.00000
 179  0.43297 0.00000  0.43897 0.00000
 180  0.43233 0.00000  0.43897 0.00000
 181  0.43806 0.00000  0.43895 0.00000
 182  0.43523 0.00000  0.43896 0.00000
 183  0.43608 0.00000  0.43897 0.00000
 184  0.43545 0.00000  0.43897 0.00000
 185  0.43775 0.00000  0.43897 0.00000
 186  0.43410 0.00000  0.43897 0.00000
 187  0.43512 0.00000  0.43895 0.00000
 188  0.43627 0.00000  0.43896 0.00000
 189  0.43356 0.00000  0.43895 0.00000
 190  0.43255 0.00000  0.43895 0.00000
 191  0.43403 0.00000  0.43894 0.00000
 192  0.43677 0.00000  0.43893 0.00000
 193  0.43517 0.00000  0.43892 0.00000
 194  0.43608 0.00000  0.43892 0.00000
 195  0.43507 0.00000  0.43891 0.00000
 196  0.43325 0.00000  0.43893 0.00000
 197  0.43417 0.00000  0.43893 0.00000
 198  0.43693 0.00000  0.43895 0.00000
 199  0.43678 0.00000  0.43895 0.00000
 200  0.43599 0.00000  0.43892 0.00000
 201  0.43247 0.00000  0.43890 0.00000
 202  0.43435 0.00000  0.43889 0.00000
 203  0.43270 0.00000  0.43890 0.00000
 204  0.43594 0.00000  0.43890 0.00000
 205  0.43334 0.00000  0.43891 0.00000
 206  0.43884 0.00000  0.43890 0.00000
 207  0.43215 0.00000  0.43888 0.00000
 208  0.43634 0.00000  0.43889 0.00000
 209  0.43716 0.00000  0.43889 0.00000
 210  0.43637 0.00000  0.43889 0.00000
 211  0.43299 0.00000  0.43889 0.00000
 212  0.43551 0.00000  0.43890 0.00000
 213  0.43308 0.00000  0.43888 0.00000
 214  0.43531 0.00000  0.43889 0.00000
 215  0.43474 0.00000  0.43890 0.00000
 216  0.43220 0.00000  0.43891 0.00000
 217  0.43927 0.00000  0.43892 0.00000
 218  0.43521 0.00000  0.43893 0.00000
 219  0.43739 0.00000  0.43892 0.00000
 220  0.43579 0.00000  0.43891 0.00000
 221  0.43471 0.00000  0.43890 0.00000
 222  0.43475 0.00000  0.43891 0.00000
 223  0.43641 0.00000  0.43888 0.00000
 224  0.43681 0.00000  0.43888 0.00000
 225  0.43436 0.00000  0.43889 0.00000
 226  0.43409 0.00000  0.43888 0.00000
 227  0.43631 0.00000  0.43889 0.00000
 228  0.43617 0.00000  0.43888 0.00000
 229  0.43752 0.00000  0.43887 0.00000
 230  0.43647 0.00000  0.43885 0.00000
 231  0.43763 0.00000  0.43885 0.00000
 232  0.43132 0.00000  0.43882 0.00000
 233  0.43496 0.00000  0.43882 0.00000
 234  0.43585 0.00000  0.43882 0.00000
 235  0.43657 0.00000  0.43882 0.00000
 236  0.43423 0.00000  0.43881 0.00000
 237  0.43591 0.00000  0.43881 0.00000
 238  0.43560 0.00000  0.43881 0.00000
 239  0.43672 0.00000  0.43881 0.00000
 240  0.43693 0.00000  0.43881 0.00000
 241  0.43559 0.00000  0.43880 0.00000
 242  0.43444 0.00000  0.43880 0.00000
 243  0.43720 0.00000  0.43881 0.00000
 244  0.43818 0.00000  0.43882 0.00000
 245  0.43630 0.00000  0.43882 0.00000
 246  0.43509 0.00000  0.43882 0.00000
 247  0.43348 0.00000  0.43881 0.00000
 248  0.43681 0.00000  0.43880 0.00000
 249  0.43633 0.00000  0.43879 0.00000
 250  0.43653 0.00000  0.43880 0.00000
 251  0.43636 0.00000  0.43882 0.00000
 252  0.43100 0.00000  0.43882 0.00000
 253  0.43378 0.00000  0.43880 0.00000
 254  0.43490 0.00000  0.43878 0.00000
 255  0.43413 0.00000  0.43877 0.00000
 256  0.43315 0.00000  0.43875 0.00000
 257  0.43741 0.00000  0.43873 0.00000
 258  0.43328 0.00000  0.43873 0.00000
 259  0.43195 0.00000  0.43872 0.00000
 260  0.43787 0.00000  0.43873 0.00000
 261  0.43481 0.00000  0.43873 0.00000
 262  0.43478 0.00000  0.43871 0.00000
 263  0.43712 0.00000  0.43871 0.00000
 264  0.43543 0.00000  0.43870 0.00000
 265  0.43414 0.00000  0.43870 0.00000
 266  0.43376 0.00000  0.43869 0.00000
 267  0.43492 0.00000  0.43870 0.00000
 268  0.43339 0.00000  0.43871 0.00000
 269  0.43469 0.00000  0.43869 0.00000
 270  0.43061 0.00000  0.43868 0.00000
 271  0.43435 0.00000  0.43867 0.00000
 272  0.43488 0.00000  0.43866 0.00000
 273  0.43843 0.00000  0.43869 0.00000
 274  0.43994 0.00000  0.43871 0.00000
 275  0.43842 0.00000  0.43871 0.00000
 276  0.43741 0.00000  0.43871 0.00000
 277  0.43866 0.00000  0.43871 0.00000
 278  0.43216 0.00000  0.43869 0.00000
 279  0.43496 0.00000  0.43868 0.00000
 280  0.43682 0.00000  0.43867 0.00000
 281  0.43612 0.00000  0.43867 0.00000
 282  0.43390 0.00000  0.43868 0.00000
 283  0.43613 0.00000  0.43866 0.00000
 284  0.43369 0.00000  0.43866 0.00000
 285  0.43600 0.00000  0.43865 0.00000
 286  0.43407 0.00000  0.43864 0.00000
 287  0.43565 0.00000  0.43865 0.00000
 288  0.43693 0.00000  0.43867 0.00000
 289  0.43756 0.00000  0.43867 0.00000
 290  0.43738 0.00000  0.43865 0.00000
 291  0.43399 0.00000  0.43864 0.00000
 292  0.43474 0.00000  0.43864 0.00000
 293  0.43307 0.00000  0.43863 0.00000
 294  0.43710 0.00000  0.43861 0.00000
 295  0.43449 0.00000  0.43861 0.00000
 296  0.43266 0.00000  0.43861 0.00000
 297  0.43631 0.00000  0.43860 0.00000
 298  0.43863 0.00000  0.43862 0.00000
 299  0.43473 0.00000  0.43864 0.00000
 300  0.43677 0.00000  0.43865 0.00000
 301  0.43483 0.00000  0.43866 0.00000
 302  0.43537 0.00000  0.43866 0.00000
 303  0.43412 0.00000  0.43865 0.00000
 304  0.43407 0.00000  0.43865 0.00000
 305  0.43376 0.00000  0.43865 0.00000
 306  0.43081 0.00000  0.43862 0.00000
 307  0.43479 0.00000  0.43863 0.00000
 308  0.43672 0.00000  0.43863 0.00000
 309  0.43635 0.00000  0.43863 0.00000
 310  0.43370 0.00000  0.43863 0.00000
 311  0.43764 0.00000  0.43862 0.00000
 312  0.43440 0.00000  0.43861 0.00000
 313  0.43567 0.00000  0.43862 0.00000
 314  0.43537 0.00000  0.43863 0.00000
 315  0.43751 0.00000  0.43863 0.00000
 316  0.43580 0.00000  0.43865 0.00000
 317  0.43273 0.00000  0.43864 0.00000
 318  0.43556 0.00000  0.43862 0.00000
 319  0.43505 0.00000  0.43861 0.00000
 320  0.43370 0.00000  0.43860 0.00000
 321  0.43442 0.00000  0.43859 0.00000
 322  0.43368 0.00000  0.43858 0.00000
 323  0.43502 0.00000  0.43858 0.00000
 324  0.43569 0.00000  0.43859 0.00000
 325  0.43076 0.00000  0.43858 0.00000
 326  0.43359 0.00000  0.43858 0.00000
 327  0.43520 0.00000  0.43858 0.00000
 328  0.43457 0.00000  0.43858 0.00000
 329  0.43773 0.00000  0.43858 0.00000
 330  0.43040 0.00000  0.43856 0.00000
 331  0.43367 0.00000  0.43855 0.00000
 332  0.43270 0.00000  0.43853 0.00000
 333  0.43871 0.00000  0.43854 0.00000
 334  0.43522 0.00000  0.43856 0.00000
 335  0.43542 0.00000  0.43857 0.00000
 336  0.43491 0.00000  0.43855 0.00000
 337  0.43609 0.00000  0.43855 0.00000
 338  0.43287 0.00000  0.43853 0.00000
 339  0.43191 0.00000  0.43852 0.00000
 340  0.43500 0.00000  0.43853 0.00000
 341  0.43557 0.00000  0.43852 0.00000
 342  0.43528 0.00000  0.43854 0.00000
 343  0.43400 0.00000  0.43853 0.00000
 344  0.43718 0.00000  0.43853 0.00000
 345  0.43596 0.00000  0.43851 0.00000
 346  0.43432 0.00000  0.43849 0.00000
 347  0.43485 0.00000  0.43849 0.00000
 348  0.43436 0.00000  0.43849 0.00000
 349  0.43682 0.00000  0.43849 0.00000
 350  0.43766 0.00000  0.43850 0.00000
 351  0.43618 0.00000  0.43852 0.00000
 352  0.43965 0.00000  0.43852 0.00000
 353  0.43554 0.00000  0.43851 0.00000
 354  0.43705 0.00000  0.43851 0.00000
 355  0.43239 0.00000  0.43850 0.00000
 356  0.43355 0.00000  0.43848 0.00000
