loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.63308 0.00000  0.54002 0.00000
   1  0.51167 0.00000  0.48348 0.00000
   2  0.47437 0.00000  0.46294 0.00000
   3  0.45710 0.00000  0.45360 0.00000
   4  0.45161 0.00000  0.44789 0.00000
   5  0.44659 0.00000  0.44499 0.00000
   6  0.44578 0.00000  0.44313 0.00000
   7  0.44213 0.00000  0.44210 0.00000
   8  0.43887 0.00000  0.44146 0.00000
   9  0.43804 0.00000  0.44115 0.00000
  10  0.44115 0.00000  0.44097 0.00000
  11  0.43483 0.00000  0.44072 0.00000
  12  0.44385 0.00000  0.44045 0.00000
  13  0.42915 0.00000  0.44027 0.00000
  14  0.44803 0.00000  0.44036 0.00000
  15  0.44113 0.00000  0.44024 0.00000
  16  0.44232 0.00000  0.44024 0.00000
  17  0.43742 0.00000  0.44014 0.00000
  18  0.43625 0.00000  0.44011 0.00000
  19  0.43657 0.00000  0.44007 0.00000
  20  0.44069 0.00000  0.43997 0.00000
  21  0.43297 0.00000  0.43996 0.00000
  22  0.44397 0.00000  0.44007 0.00000
  23  0.43626 0.00000  0.43999 0.00000
  24  0.44192 0.00000  0.44005 0.00000
  25  0.43751 0.00000  0.43993 0.00000
  26  0.43906 0.00000  0.43982 0.00000
  27  0.44470 0.00000  0.43998 0.00000
  28  0.44784 0.00000  0.43999 0.00000
  29  0.43480 0.00000  0.43982 0.00000
  30  0.43969 0.00000  0.43977 0.00000
  31  0.43742 0.00000  0.43972 0.00000
  32  0.44553 0.00000  0.43979 0.00000
  33  0.43970 0.00000  0.43971 0.00000
  34  0.44095 0.00000  0.43989 0.00000
  35  0.44484 0.00000  0.43970 0.00000
  36  0.44148 0.00000  0.43964 0.00000
  37  0.43909 0.00000  0.43967 0.00000
  38  0.43309 0.00000  0.43964 0.00000
  39  0.43719 0.00000  0.43966 0.00000
  40  0.43391 0.00000  0.43960 0.00000
  41  0.43237 0.00000  0.43962 0.00000
  42  0.44274 0.00000  0.43960 0.00000
  43  0.43717 0.00000  0.43957 0.00000
  44  0.43517 0.00000  0.43956 0.00000
