loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.89007 0.00000  0.84341 0.18831
   1  0.82554 0.00000  0.84071 0.18646
   2  0.84580 0.00000  0.83835 0.18545
   3  0.83654 0.00000  0.83697 0.18450
   4  0.81476 0.00000  0.83598 0.18351
   5  0.83638 0.00000  0.83502 0.18289
   6  0.80709 0.00000  0.83433 0.18226
   7  0.83372 0.00000  0.83378 0.18196
   8  0.83422 0.00000  0.83329 0.18162
   9  0.83412 0.00000  0.83301 0.18124
  10  0.81843 0.00000  0.83311 0.18110
  11  0.80924 0.00000  0.83344 0.18094
  12  0.80672 0.00000  0.83284 0.18090
  13  0.82274 0.00000  0.83234 0.18077
  14  0.83058 0.00000  0.83249 0.18064
  15  0.82043 0.00000  0.83244 0.18055
  16  0.81715 0.00000  0.83301 0.18053
  17  0.81275 0.00000  0.83192 0.18056
  18  0.81529 0.00000  0.83260 0.18045
  19  0.82011 0.00000  0.83175 0.18045
  20  0.82886 0.00000  0.83164 0.18040
  21  0.82161 0.00000  0.83200 0.18036
  22  0.82669 0.00000  0.83171 0.18041
  23  0.80765 0.00000  0.83173 0.18042
  24  0.82709 0.00000  0.83172 0.18036
  25  0.81896 0.00000  0.83183 0.18038
  26  0.79817 0.00000  0.83225 0.18040
  27  0.80823 0.00000  0.83202 0.18045
  28  0.83536 0.00000  0.83196 0.18039
  29  0.80957 0.00000  0.83234 0.18039
  30  0.80382 0.00000  0.83229 0.18045
  31  0.82915 0.00000  0.83178 0.18045
  32  0.83160 0.00000  0.83218 0.18039
  33  0.82315 0.00000  0.83240 0.18045
  34  0.83436 0.00000  0.83233 0.18045
  35  0.83824 0.00000  0.83224 0.18048
  36  0.81519 0.00000  0.83336 0.18050
  37  0.82066 0.00000  0.83227 0.18056
  38  0.80195 0.00000  0.83222 0.18065
  39  0.80903 0.00000  0.83261 0.18066
  40  0.82094 0.00000  0.83274 0.18067
  41  0.81184 0.00000  0.83263 0.18069
  42  0.81219 0.00000  0.83269 0.18071
  43  0.81747 0.00000  0.83264 0.18074
  44  0.82708 0.00000  0.83298 0.18073
  45  0.82437 0.00000  0.83273 0.18076
  46  0.83072 0.00000  0.83282 0.18077
  47  0.83607 0.00000  0.83308 0.18079
  48  0.82428 0.00000  0.83356 0.18081
  49  0.82680 0.00000  0.83287 0.18085
  50  0.80708 0.00000  0.83280 0.18090
  51  0.81788 0.00000  0.83343 0.18088
  52  0.82055 0.00000  0.83339 0.18091
  53  0.82276 0.00000  0.83318 0.18092
  54  0.82689 0.00000  0.83379 0.18093
  55  0.81451 0.00000  0.83301 0.18096
  56  0.81558 0.00000  0.83302 0.18097
  57  0.81018 0.00000  0.83341 0.18098
  58  0.83432 0.00000  0.83325 0.18098
  59  0.82359 0.00000  0.83350 0.18099
  60  0.82743 0.00000  0.83375 0.18099
  61  0.81016 0.00000  0.83357 0.18102
  62  0.80782 0.00000  0.83315 0.18104
  63  0.82068 0.00000  0.83312 0.18105
  64  0.81107 0.00000  0.83319 0.18107
  65  0.83068 0.00000  0.83344 0.18106
  66  0.82822 0.00000  0.83407 0.18105
  67  0.81188 0.00000  0.83314 0.18108
  68  0.82622 0.00000  0.83327 0.18108
  69  0.82594 0.00000  0.83376 0.18108
