loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.50605 0.00000  0.46158 0.00000
   1  0.44992 0.00000  0.44641 0.00000
   2  0.44178 0.00000  0.44410 0.00000
   3  0.43781 0.00000  0.44336 0.00000
   4  0.43309 0.00000  0.44292 0.00000
   5  0.43719 0.00000  0.44252 0.00000
   6  0.43879 0.00000  0.44242 0.00000
   7  0.43633 0.00000  0.44231 0.00000
   8  0.43761 0.00000  0.44231 0.00000
   9  0.43956 0.00000  0.44228 0.00000
  10  0.43451 0.00000  0.44211 0.00000
  11  0.44176 0.00000  0.44234 0.00000
  12  0.43691 0.00000  0.44230 0.00000
  13  0.43830 0.00000  0.44231 0.00000
  14  0.44083 0.00000  0.44231 0.00000
  15  0.43897 0.00000  0.44241 0.00000
  16  0.43591 0.00000  0.44252 0.00000
  17  0.43731 0.00000  0.44251 0.00000
  18  0.43889 0.00000  0.44273 0.00000
  19  0.43559 0.00000  0.44276 0.00000
  20  0.43960 0.00000  0.44284 0.00000
  21  0.43931 0.00000  0.44295 0.00000
  22  0.43866 0.00000  0.44306 0.00000
  23  0.43794 0.00000  0.44314 0.00000
  24  0.43576 0.00000  0.44311 0.00000
  25  0.43751 0.00000  0.44306 0.00000
  26  0.43547 0.00000  0.44331 0.00000
  27  0.43825 0.00000  0.44326 0.00000
  28  0.43851 0.00000  0.44343 0.00000
  29  0.43952 0.00000  0.44358 0.00000
  30  0.43849 0.00000  0.44370 0.00000
  31  0.43897 0.00000  0.44391 0.00000
  32  0.43756 0.00000  0.44394 0.00000
  33  0.43942 0.00000  0.44406 0.00000
  34  0.44259 0.00000  0.44432 0.00000
  35  0.44095 0.00000  0.44442 0.00000
  36  0.43494 0.00000  0.44439 0.00000
  37  0.43685 0.00000  0.44440 0.00000
  38  0.43947 0.00000  0.44456 0.00000
  39  0.43824 0.00000  0.44461 0.00000
  40  0.44149 0.00000  0.44474 0.00000
  41  0.43976 0.00000  0.44481 0.00000
  42  0.44012 0.00000  0.44481 0.00000
  43  0.44314 0.00000  0.44488 0.00000
  44  0.43880 0.00000  0.44489 0.00000
  45  0.43928 0.00000  0.44508 0.00000
  46  0.44108 0.00000  0.44515 0.00000
  47  0.44129 0.00000  0.44537 0.00000
  48  0.44129 0.00000  0.44543 0.00000
  49  0.44273 0.00000  0.44538 0.00000
  50  0.43847 0.00000  0.44535 0.00000
  51  0.44161 0.00000  0.44542 0.00000
  52  0.44150 0.00000  0.44546 0.00000
  53  0.44075 0.00000  0.44559 0.00000
  54  0.44008 0.00000  0.44570 0.00000
  55  0.44104 0.00000  0.44577 0.00000
  56  0.44114 0.00000  0.44575 0.00000
  57  0.44125 0.00000  0.44569 0.00000
  58  0.44109 0.00000  0.44582 0.00000
  59  0.44092 0.00000  0.44585 0.00000
  60  0.44075 0.00000  0.44601 0.00000
  61  0.44168 0.00000  0.44598 0.00000
  62  0.44161 0.00000  0.44592 0.00000
  63  0.44247 0.00000  0.44622 0.00000
  64  0.44103 0.00000  0.44635 0.00000
  65  0.43985 0.00000  0.44636 0.00000
  66  0.43841 0.00000  0.44639 0.00000
  67  0.43956 0.00000  0.44645 0.00000
  68  0.44095 0.00000  0.44656 0.00000
  69  0.44526 0.00000  0.44675 0.00000
  70  0.44145 0.00000  0.44671 0.00000
  71  0.43990 0.00000  0.44678 0.00000
  72  0.43892 0.00000  0.44690 0.00000
  73  0.44250 0.00000  0.44692 0.00000
  74  0.44237 0.00000  0.44702 0.00000
  75  0.44287 0.00000  0.44707 0.00000
  76  0.44092 0.00000  0.44710 0.00000
  77  0.44628 0.00000  0.44694 0.00000
  78  0.44098 0.00000  0.44679 0.00000
  79  0.44217 0.00000  0.44664 0.00000
  80  0.44351 0.00000  0.44665 0.00000
  81  0.44433 0.00000  0.44688 0.00000
  82  0.44264 0.00000  0.44683 0.00000
  83  0.43991 0.00000  0.44679 0.00000
  84  0.43859 0.00000  0.44673 0.00000
  85  0.44335 0.00000  0.44664 0.00000
  86  0.43937 0.00000  0.44658 0.00000
  87  0.43949 0.00000  0.44646 0.00000
  88  0.44162 0.00000  0.44650 0.00000
  89  0.43970 0.00000  0.44658 0.00000
  90  0.43985 0.00000  0.44665 0.00000
  91  0.44030 0.00000  0.44656 0.00000
  92  0.44274 0.00000  0.44669 0.00000
  93  0.43983 0.00000  0.44672 0.00000
  94  0.44393 0.00000  0.44680 0.00000
  95  0.44226 0.00000  0.44690 0.00000
  96  0.44314 0.00000  0.44698 0.00000
  97  0.43931 0.00000  0.44674 0.00000
  98  0.43902 0.00000  0.44686 0.00000
  99  0.43979 0.00000  0.44693 0.00000
 100  0.43998 0.00000  0.44682 0.00000
 101  0.44319 0.00000  0.44696 0.00000
 102  0.44259 0.00000  0.44701 0.00000
 103  0.44333 0.00000  0.44702 0.00000
 104  0.44650 0.00000  0.44723 0.00000
 105  0.44105 0.00000  0.44704 0.00000
 106  0.44089 0.00000  0.44714 0.00000
 107  0.43842 0.00000  0.44694 0.00000
 108  0.44053 0.00000  0.44698 0.00000
