loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.52494 0.00000  0.45703 0.00000
   1  0.44557 0.00000  0.44821 0.00000
   2  0.44431 0.00000  0.44736 0.00000
   3  0.45074 0.00000  0.44702 0.00000
   4  0.44096 0.00000  0.44614 0.00000
   5  0.44332 0.00000  0.44592 0.00000
   6  0.45100 0.00000  0.44566 0.00000
   7  0.44350 0.00000  0.44534 0.00000
   8  0.43888 0.00000  0.44501 0.00000
   9  0.43785 0.00000  0.44501 0.00000
  10  0.43934 0.00000  0.44481 0.00000
  11  0.44151 0.00000  0.44461 0.00000
  12  0.44926 0.00000  0.44492 0.00000
  13  0.44310 0.00000  0.44450 0.00000
  14  0.45102 0.00000  0.44461 0.00000
  15  0.44380 0.00000  0.44446 0.00000
  16  0.44291 0.00000  0.44434 0.00000
  17  0.43910 0.00000  0.44421 0.00000
  18  0.43445 0.00000  0.44423 0.00000
  19  0.44334 0.00000  0.44420 0.00000
  20  0.43688 0.00000  0.44422 0.00000
  21  0.44362 0.00000  0.44430 0.00000
  22  0.44382 0.00000  0.44420 0.00000
  23  0.44627 0.00000  0.44448 0.00000
  24  0.44797 0.00000  0.44433 0.00000
  25  0.44354 0.00000  0.44443 0.00000
  26  0.44027 0.00000  0.44447 0.00000
  27  0.43740 0.00000  0.44449 0.00000
  28  0.44147 0.00000  0.44462 0.00000
  29  0.44741 0.00000  0.44472 0.00000
  30  0.44077 0.00000  0.44475 0.00000
  31  0.44707 0.00000  0.44486 0.00000
  32  0.45043 0.00000  0.44498 0.00000
  33  0.43922 0.00000  0.44485 0.00000
  34  0.43991 0.00000  0.44489 0.00000
  35  0.44216 0.00000  0.44517 0.00000
  36  0.44982 0.00000  0.44519 0.00000
  37  0.44347 0.00000  0.44501 0.00000
  38  0.43939 0.00000  0.44495 0.00000
  39  0.44452 0.00000  0.44537 0.00000
  40  0.44140 0.00000  0.44532 0.00000
  41  0.44390 0.00000  0.44533 0.00000
  42  0.44552 0.00000  0.44527 0.00000
  43  0.44402 0.00000  0.44551 0.00000
  44  0.44384 0.00000  0.44535 0.00000
  45  0.43962 0.00000  0.44556 0.00000
  46  0.43806 0.00000  0.44545 0.00000
  47  0.44210 0.00000  0.44558 0.00000
  48  0.43674 0.00000  0.44555 0.00000
  49  0.44645 0.00000  0.44585 0.00000
  50  0.44072 0.00000  0.44564 0.00000
  51  0.44457 0.00000  0.44574 0.00000
  52  0.44437 0.00000  0.44606 0.00000
  53  0.44030 0.00000  0.44609 0.00000
  54  0.44335 0.00000  0.44612 0.00000
  55  0.44172 0.00000  0.44608 0.00000
  56  0.44914 0.00000  0.44602 0.00000
  57  0.44436 0.00000  0.44605 0.00000
  58  0.44525 0.00000  0.44615 0.00000
  59  0.44766 0.00000  0.44606 0.00000
  60  0.44068 0.00000  0.44612 0.00000
  61  0.44703 0.00000  0.44623 0.00000
  62  0.44542 0.00000  0.44635 0.00000
  63  0.44554 0.00000  0.44656 0.00000
  64  0.44717 0.00000  0.44664 0.00000
  65  0.44314 0.00000  0.44663 0.00000
  66  0.44860 0.00000  0.44665 0.00000
  67  0.45093 0.00000  0.44671 0.00000
  68  0.44587 0.00000  0.44686 0.00000
  69  0.44318 0.00000  0.44704 0.00000
  70  0.44449 0.00000  0.44680 0.00000
  71  0.45274 0.00000  0.44681 0.00000
  72  0.44724 0.00000  0.44678 0.00000
  73  0.43853 0.00000  0.44673 0.00000
  74  0.44035 0.00000  0.44669 0.00000
  75  0.44471 0.00000  0.44656 0.00000
  76  0.44350 0.00000  0.44663 0.00000
  77  0.43925 0.00000  0.44649 0.00000
  78  0.44661 0.00000  0.44637 0.00000
  79  0.44386 0.00000  0.44652 0.00000
  80  0.44790 0.00000  0.44668 0.00000
  81  0.44125 0.00000  0.44666 0.00000
  82  0.45014 0.00000  0.44689 0.00000
  83  0.44839 0.00000  0.44713 0.00000
  84  0.44533 0.00000  0.44726 0.00000
  85  0.44283 0.00000  0.44716 0.00000
  86  0.44203 0.00000  0.44698 0.00000
  87  0.44124 0.00000  0.44712 0.00000
  88  0.44076 0.00000  0.44709 0.00000
  89  0.44268 0.00000  0.44676 0.00000
  90  0.44126 0.00000  0.44654 0.00000
  91  0.44453 0.00000  0.44672 0.00000
  92  0.44146 0.00000  0.44691 0.00000
  93  0.44176 0.00000  0.44669 0.00000
  94  0.44655 0.00000  0.44677 0.00000
  95  0.44795 0.00000  0.44717 0.00000
  96  0.44074 0.00000  0.44683 0.00000
  97  0.45305 0.00000  0.44677 0.00000
  98  0.44604 0.00000  0.44715 0.00000
  99  0.44427 0.00000  0.44697 0.00000
 100  0.44970 0.00000  0.44703 0.00000
 101  0.44530 0.00000  0.44717 0.00000
 102  0.44741 0.00000  0.44701 0.00000
 103  0.44188 0.00000  0.44663 0.00000
 104  0.44172 0.00000  0.44657 0.00000
 105  0.44268 0.00000  0.44659 0.00000
 106  0.44332 0.00000  0.44651 0.00000
 107  0.44158 0.00000  0.44678 0.00000
 108  0.44521 0.00000  0.44653 0.00000
 109  0.44816 0.00000  0.44680 0.00000
 110  0.44757 0.00000  0.44700 0.00000
 111  0.44034 0.00000  0.44700 0.00000
 112  0.44308 0.00000  0.44735 0.00000
 113  0.44512 0.00000  0.44724 0.00000
 114  0.44768 0.00000  0.44720 0.00000
 115  0.44002 0.00000  0.44698 0.00000
 116  0.44383 0.00000  0.44705 0.00000
 117  0.44300 0.00000  0.44701 0.00000
 118  0.43995 0.00000  0.44712 0.00000
 119  0.44223 0.00000  0.44693 0.00000
 120  0.44396 0.00000  0.44679 0.00000
 121  0.44104 0.00000  0.44667 0.00000
 122  0.45338 0.00000  0.44667 0.00000
 123  0.44698 0.00000  0.44670 0.00000
 124  0.44774 0.00000  0.44688 0.00000
 125  0.44810 0.00000  0.44697 0.00000
 126  0.44729 0.00000  0.44691 0.00000
 127  0.44967 0.00000  0.44688 0.00000
 128  0.45006 0.00000  0.44698 0.00000
 129  0.44022 0.00000  0.44651 0.00000
 130  0.44547 0.00000  0.44663 0.00000
 131  0.44392 0.00000  0.44662 0.00000
 132  0.44461 0.00000  0.44674 0.00000
 133  0.44735 0.00000  0.44662 0.00000
 134  0.44869 0.00000  0.44661 0.00000
 135  0.44961 0.00000  0.44695 0.00000
 136  0.44580 0.00000  0.44671 0.00000
 137  0.44744 0.00000  0.44668 0.00000
 138  0.44863 0.00000  0.44659 0.00000
 139  0.44460 0.00000  0.44638 0.00000
 140  0.44538 0.00000  0.44643 0.00000
 141  0.44586 0.00000  0.44638 0.00000
 142  0.44706 0.00000  0.44665 0.00000
 143  0.44123 0.00000  0.44655 0.00000
 144  0.44567 0.00000  0.44683 0.00000
 145  0.44400 0.00000  0.44685 0.00000
 146  0.45199 0.00000  0.44691 0.00000
 147  0.44860 0.00000  0.44684 0.00000
