loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.51832 0.00000  0.46364 0.00000
   1  0.45098 0.00000  0.45521 0.00000
   2  0.45457 0.00000  0.45188 0.00000
   3  0.43901 0.00000  0.44959 0.00000
   4  0.44733 0.00000  0.44818 0.00000
   5  0.44965 0.00000  0.44699 0.00000
   6  0.45012 0.00000  0.44567 0.00000
   7  0.44554 0.00000  0.44484 0.00000
   8  0.44674 0.00000  0.44440 0.00000
   9  0.43425 0.00000  0.44383 0.00000
  10  0.43971 0.00000  0.44347 0.00000
  11  0.45244 0.00000  0.44324 0.00000
  12  0.43683 0.00000  0.44302 0.00000
  13  0.44026 0.00000  0.44284 0.00000
  14  0.43985 0.00000  0.44298 0.00000
  15  0.44508 0.00000  0.44271 0.00000
  16  0.44151 0.00000  0.44257 0.00000
  17  0.44432 0.00000  0.44256 0.00000
  18  0.44409 0.00000  0.44244 0.00000
  19  0.43575 0.00000  0.44273 0.00000
  20  0.43984 0.00000  0.44255 0.00000
  21  0.43637 0.00000  0.44243 0.00000
  22  0.43764 0.00000  0.44246 0.00000
  23  0.42874 0.00000  0.44241 0.00000
  24  0.43807 0.00000  0.44253 0.00000
  25  0.43962 0.00000  0.44280 0.00000
  26  0.44638 0.00000  0.44282 0.00000
  27  0.43743 0.00000  0.44291 0.00000
  28  0.42971 0.00000  0.44285 0.00000
  29  0.44413 0.00000  0.44297 0.00000
  30  0.43292 0.00000  0.44315 0.00000
  31  0.44247 0.00000  0.44305 0.00000
  32  0.44427 0.00000  0.44306 0.00000
  33  0.43173 0.00000  0.44297 0.00000
  34  0.43867 0.00000  0.44301 0.00000
  35  0.44701 0.00000  0.44334 0.00000
  36  0.44305 0.00000  0.44350 0.00000
  37  0.44173 0.00000  0.44379 0.00000
  38  0.44016 0.00000  0.44372 0.00000
  39  0.43653 0.00000  0.44370 0.00000
  40  0.43730 0.00000  0.44417 0.00000
  41  0.43082 0.00000  0.44415 0.00000
  42  0.44687 0.00000  0.44459 0.00000
  43  0.43225 0.00000  0.44459 0.00000
  44  0.45162 0.00000  0.44503 0.00000
  45  0.44074 0.00000  0.44488 0.00000
  46  0.44041 0.00000  0.44516 0.00000
  47  0.45223 0.00000  0.44543 0.00000
  48  0.43621 0.00000  0.44510 0.00000
  49  0.45396 0.00000  0.44541 0.00000
  50  0.45016 0.00000  0.44538 0.00000
  51  0.44177 0.00000  0.44586 0.00000
  52  0.44848 0.00000  0.44600 0.00000
  53  0.45389 0.00000  0.44661 0.00000
  54  0.42652 0.00000  0.44628 0.00000
  55  0.45010 0.00000  0.44645 0.00000
  56  0.45428 0.00000  0.44645 0.00000
  57  0.44677 0.00000  0.44674 0.00000
  58  0.45260 0.00000  0.44724 0.00000
  59  0.44116 0.00000  0.44731 0.00000
