loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.61412 0.00000  0.52293 0.00000
   1  0.49333 0.00000  0.46903 0.00000
   2  0.46192 0.00000  0.45257 0.00000
   3  0.44858 0.00000  0.44741 0.00000
   4  0.44597 0.00000  0.44487 0.00000
   5  0.44460 0.00000  0.44385 0.00000
   6  0.44491 0.00000  0.44341 0.00000
   7  0.44288 0.00000  0.44314 0.00000
   8  0.44065 0.00000  0.44292 0.00000
   9  0.44027 0.00000  0.44284 0.00000
  10  0.44312 0.00000  0.44278 0.00000
  11  0.43691 0.00000  0.44261 0.00000
  12  0.44595 0.00000  0.44242 0.00000
  13  0.43135 0.00000  0.44225 0.00000
  14  0.45056 0.00000  0.44228 0.00000
  15  0.44372 0.00000  0.44210 0.00000
  16  0.44468 0.00000  0.44203 0.00000
  17  0.43960 0.00000  0.44189 0.00000
  18  0.43845 0.00000  0.44181 0.00000
  19  0.43850 0.00000  0.44172 0.00000
  20  0.44312 0.00000  0.44157 0.00000
  21  0.43480 0.00000  0.44151 0.00000
  22  0.44586 0.00000  0.44154 0.00000
  23  0.43817 0.00000  0.44142 0.00000
  24  0.44363 0.00000  0.44143 0.00000
  25  0.43945 0.00000  0.44130 0.00000
  26  0.44090 0.00000  0.44114 0.00000
  27  0.44661 0.00000  0.44123 0.00000
  28  0.44959 0.00000  0.44120 0.00000
  29  0.43653 0.00000  0.44100 0.00000
  30  0.44125 0.00000  0.44092 0.00000
  31  0.43895 0.00000  0.44083 0.00000
  32  0.44729 0.00000  0.44084 0.00000
  33  0.44108 0.00000  0.44073 0.00000
  34  0.44258 0.00000  0.44085 0.00000
  35  0.44607 0.00000  0.44066 0.00000
  36  0.44304 0.00000  0.44055 0.00000
  37  0.44030 0.00000  0.44054 0.00000
  38  0.43436 0.00000  0.44049 0.00000
  39  0.43859 0.00000  0.44048 0.00000
  40  0.43494 0.00000  0.44038 0.00000
  41  0.43340 0.00000  0.44037 0.00000
  42  0.44384 0.00000  0.44032 0.00000
  43  0.43840 0.00000  0.44027 0.00000
  44  0.43614 0.00000  0.44024 0.00000
  45  0.44405 0.00000  0.44030 0.00000
  46  0.44105 0.00000  0.44020 0.00000
  47  0.43518 0.00000  0.44016 0.00000
  48  0.44474 0.00000  0.44020 0.00000
  49  0.43648 0.00000  0.44015 0.00000
  50  0.43429 0.00000  0.44012 0.00000
  51  0.44293 0.00000  0.44017 0.00000
  52  0.44165 0.00000  0.44023 0.00000
  53  0.43326 0.00000  0.44010 0.00000
  54  0.44138 0.00000  0.44018 0.00000
  55  0.42799 0.00000  0.44006 0.00000
  56  0.43721 0.00000  0.44000 0.00000
  57  0.44473 0.00000  0.43998 0.00000
  58  0.44071 0.00000  0.43999 0.00000
  59  0.43575 0.00000  0.43988 0.00000
  60  0.43352 0.00000  0.43993 0.00000
  61  0.43769 0.00000  0.43999 0.00000
  62  0.44129 0.00000  0.44000 0.00000
  63  0.43909 0.00000  0.43996 0.00000
  64  0.43485 0.00000  0.43991 0.00000
  65  0.43304 0.00000  0.43984 0.00000
  66  0.44178 0.00000  0.43982 0.00000
  67  0.43550 0.00000  0.43985 0.00000
  68  0.43216 0.00000  0.43990 0.00000
  69  0.43764 0.00000  0.43992 0.00000
  70  0.44280 0.00000  0.43987 0.00000
  71  0.43650 0.00000  0.43990 0.00000
  72  0.43301 0.00000  0.43986 0.00000
  73  0.42863 0.00000  0.43981 0.00000
  74  0.43680 0.00000  0.43975 0.00000
  75  0.43943 0.00000  0.43985 0.00000
  76  0.43429 0.00000  0.43982 0.00000
  77  0.43818 0.00000  0.43979 0.00000
  78  0.43981 0.00000  0.43980 0.00000
  79  0.43809 0.00000  0.43977 0.00000
  80  0.43659 0.00000  0.43978 0.00000
  81  0.44238 0.00000  0.43976 0.00000
  82  0.43502 0.00000  0.43971 0.00000
  83  0.43584 0.00000  0.43967 0.00000
  84  0.43581 0.00000  0.43971 0.00000
  85  0.42853 0.00000  0.43969 0.00000
  86  0.44086 0.00000  0.43977 0.00000
  87  0.44862 0.00000  0.43977 0.00000
  88  0.43761 0.00000  0.43973 0.00000
  89  0.43849 0.00000  0.43970 0.00000
  90  0.44071 0.00000  0.43972 0.00000
  91  0.43739 0.00000  0.43970 0.00000
  92  0.43796 0.00000  0.43971 0.00000
  93  0.44249 0.00000  0.43981 0.00000
  94  0.44180 0.00000  0.43999 0.00000
  95  0.43948 0.00000  0.43989 0.00000
  96  0.43690 0.00000  0.43986 0.00000
  97  0.43858 0.00000  0.43982 0.00000
  98  0.43604 0.00000  0.43980 0.00000
  99  0.43690 0.00000  0.43975 0.00000
 100  0.43107 0.00000  0.43975 0.00000
 101  0.44148 0.00000  0.43973 0.00000
 102  0.43039 0.00000  0.43963 0.00000
 103  0.43905 0.00000  0.43964 0.00000
 104  0.44417 0.00000  0.43974 0.00000
 105  0.43895 0.00000  0.43979 0.00000
 106  0.43399 0.00000  0.43975 0.00000
 107  0.44268 0.00000  0.43980 0.00000
 108  0.43216 0.00000  0.43977 0.00000
 109  0.44090 0.00000  0.43983 0.00000
 110  0.43480 0.00000  0.43983 0.00000
 111  0.44308 0.00000  0.43982 0.00000
 112  0.43602 0.00000  0.43974 0.00000
 113  0.44354 0.00000  0.43976 0.00000
 114  0.44003 0.00000  0.43984 0.00000
 115  0.43478 0.00000  0.43982 0.00000
 116  0.43753 0.00000  0.43976 0.00000
 117  0.44059 0.00000  0.43975 0.00000
 118  0.44356 0.00000  0.43978 0.00000
 119  0.44150 0.00000  0.43978 0.00000
 120  0.44739 0.00000  0.43986 0.00000
 121  0.43970 0.00000  0.43983 0.00000
 122  0.43498 0.00000  0.43976 0.00000
 123  0.43838 0.00000  0.43978 0.00000
 124  0.43363 0.00000  0.43982 0.00000
 125  0.43690 0.00000  0.43980 0.00000
 126  0.43956 0.00000  0.43984 0.00000
 127  0.43921 0.00000  0.43983 0.00000
 128  0.43252 0.00000  0.43985 0.00000
 129  0.44254 0.00000  0.43989 0.00000
 130  0.44203 0.00000  0.43991 0.00000
 131  0.44436 0.00000  0.43985 0.00000
 132  0.44640 0.00000  0.43995 0.00000
 133  0.44268 0.00000  0.44000 0.00000
 134  0.43729 0.00000  0.43991 0.00000
 135  0.44208 0.00000  0.43995 0.00000
 136  0.44062 0.00000  0.43995 0.00000
 137  0.43882 0.00000  0.43996 0.00000
 138  0.43725 0.00000  0.43996 0.00000
 139  0.43922 0.00000  0.43998 0.00000
 140  0.44354 0.00000  0.44002 0.00000
 141  0.44711 0.00000  0.44002 0.00000
 142  0.44351 0.00000  0.44006 0.00000
 143  0.44019 0.00000  0.44006 0.00000
 144  0.43968 0.00000  0.44002 0.00000
 145  0.44381 0.00000  0.44002 0.00000
 146  0.43627 0.00000  0.44003 0.00000
 147  0.44400 0.00000  0.44004 0.00000
 148  0.43507 0.00000  0.43999 0.00000
 149  0.43857 0.00000  0.43999 0.00000
 150  0.43947 0.00000  0.43999 0.00000
 151  0.43932 0.00000  0.43991 0.00000
 152  0.43614 0.00000  0.43989 0.00000
 153  0.43922 0.00000  0.43990 0.00000
 154  0.44254 0.00000  0.43995 0.00000
 155  0.43846 0.00000  0.43994 0.00000
 156  0.43920 0.00000  0.43994 0.00000
 157  0.44416 0.00000  0.44000 0.00000
 158  0.43834 0.00000  0.43998 0.00000
 159  0.43708 0.00000  0.43990 0.00000
 160  0.43667 0.00000  0.43997 0.00000
 161  0.43540 0.00000  0.43995 0.00000
 162  0.44377 0.00000  0.44001 0.00000
 163  0.44375 0.00000  0.43997 0.00000
 164  0.43284 0.00000  0.43998 0.00000
 165  0.44112 0.00000  0.44000 0.00000
 166  0.43909 0.00000  0.44001 0.00000
 167  0.43213 0.00000  0.43995 0.00000
 168  0.43714 0.00000  0.43995 0.00000
 169  0.44090 0.00000  0.43997 0.00000
 170  0.44231 0.00000  0.44004 0.00000
 171  0.44338 0.00000  0.44004 0.00000
 172  0.43969 0.00000  0.43999 0.00000
 173  0.44154 0.00000  0.44000 0.00000
 174  0.43925 0.00000  0.44007 0.00000
 175  0.43711 0.00000  0.44005 0.00000
 176  0.43392 0.00000  0.44002 0.00000
 177  0.43823 0.00000  0.43998 0.00000
 178  0.43769 0.00000  0.44000 0.00000
 179  0.44450 0.00000  0.44003 0.00000
 180  0.43754 0.00000  0.44011 0.00000
 181  0.43766 0.00000  0.44013 0.00000
 182  0.43722 0.00000  0.44011 0.00000
 183  0.43861 0.00000  0.44012 0.00000
 184  0.44287 0.00000  0.44015 0.00000
 185  0.44158 0.00000  0.44013 0.00000
 186  0.44447 0.00000  0.44015 0.00000
 187  0.43752 0.00000  0.44010 0.00000
 188  0.44085 0.00000  0.44006 0.00000
 189  0.44187 0.00000  0.44003 0.00000
 190  0.44040 0.00000  0.44008 0.00000
 191  0.44020 0.00000  0.44006 0.00000
 192  0.44249 0.00000  0.44014 0.00000
 193  0.43797 0.00000  0.44017 0.00000
 194  0.43494 0.00000  0.44011 0.00000
 195  0.43492 0.00000  0.44006 0.00000
 196  0.43755 0.00000  0.44001 0.00000
 197  0.44570 0.00000  0.44008 0.00000
 198  0.43458 0.00000  0.44005 0.00000
 199  0.43820 0.00000  0.44005 0.00000
 200  0.43834 0.00000  0.44001 0.00000
 201  0.43869 0.00000  0.44004 0.00000
 202  0.44349 0.00000  0.44009 0.00000
 203  0.44139 0.00000  0.44008 0.00000
 204  0.44434 0.00000  0.44016 0.00000
 205  0.44093 0.00000  0.44020 0.00000
 206  0.43695 0.00000  0.44011 0.00000
 207  0.43804 0.00000  0.44006 0.00000
 208  0.43332 0.00000  0.44006 0.00000
 209  0.43522 0.00000  0.44011 0.00000
 210  0.44161 0.00000  0.44000 0.00000
 211  0.44097 0.00000  0.44000 0.00000
 212  0.43309 0.00000  0.43995 0.00000
 213  0.44223 0.00000  0.44000 0.00000
 214  0.43646 0.00000  0.44000 0.00000
 215  0.43620 0.00000  0.43999 0.00000
 216  0.43940 0.00000  0.44000 0.00000
 217  0.43952 0.00000  0.44005 0.00000
 218  0.44252 0.00000  0.44011 0.00000
 219  0.44370 0.00000  0.44009 0.00000
 220  0.43753 0.00000  0.44015 0.00000
 221  0.44294 0.00000  0.44015 0.00000
 222  0.44027 0.00000  0.44007 0.00000
 223  0.43263 0.00000  0.44004 0.00000
 224  0.43854 0.00000  0.44010 0.00000
 225  0.43728 0.00000  0.44009 0.00000
 226  0.43840 0.00000  0.44010 0.00000
 227  0.44348 0.00000  0.44013 0.00000
 228  0.44489 0.00000  0.44016 0.00000
 229  0.43899 0.00000  0.44014 0.00000
 230  0.44116 0.00000  0.44011 0.00000
 231  0.44091 0.00000  0.44015 0.00000
 232  0.43964 0.00000  0.44017 0.00000
 233  0.44194 0.00000  0.44014 0.00000
 234  0.43827 0.00000  0.44012 0.00000
 235  0.44753 0.00000  0.44010 0.00000
 236  0.43534 0.00000  0.44014 0.00000
 237  0.44376 0.00000  0.44020 0.00000
 238  0.44511 0.00000  0.44030 0.00000
 239  0.43895 0.00000  0.44031 0.00000
 240  0.43858 0.00000  0.44023 0.00000
 241  0.43509 0.00000  0.44018 0.00000
 242  0.44341 0.00000  0.44016 0.00000
 243  0.44077 0.00000  0.44015 0.00000
 244  0.43978 0.00000  0.44006 0.00000
 245  0.43829 0.00000  0.44005 0.00000
 246  0.44125 0.00000  0.44006 0.00000
 247  0.43871 0.00000  0.44003 0.00000
 248  0.43746 0.00000  0.44004 0.00000
 249  0.44261 0.00000  0.44010 0.00000
 250  0.43723 0.00000  0.44008 0.00000
 251  0.43269 0.00000  0.44013 0.00000
 252  0.43337 0.00000  0.44012 0.00000
 253  0.44073 0.00000  0.44009 0.00000
 254  0.43583 0.00000  0.44011 0.00000
 255  0.44353 0.00000  0.44012 0.00000
 256  0.44122 0.00000  0.44013 0.00000
 257  0.43676 0.00000  0.44016 0.00000
 258  0.44266 0.00000  0.44007 0.00000
 259  0.44204 0.00000  0.44005 0.00000
 260  0.43774 0.00000  0.44007 0.00000
 261  0.43483 0.00000  0.43998 0.00000
 262  0.43518 0.00000  0.43997 0.00000
 263  0.43865 0.00000  0.44003 0.00000
 264  0.43440 0.00000  0.44003 0.00000
 265  0.44407 0.00000  0.44003 0.00000
 266  0.44312 0.00000  0.44004 0.00000
 267  0.44122 0.00000  0.44006 0.00000
 268  0.44047 0.00000  0.44011 0.00000
 269  0.44143 0.00000  0.44012 0.00000
 270  0.44189 0.00000  0.44008 0.00000
 271  0.43690 0.00000  0.44012 0.00000
 272  0.43719 0.00000  0.44008 0.00000
 273  0.44144 0.00000  0.44006 0.00000
 274  0.43459 0.00000  0.44000 0.00000
 275  0.44273 0.00000  0.44007 0.00000
 276  0.43587 0.00000  0.44003 0.00000
 277  0.43768 0.00000  0.44002 0.00000
 278  0.43982 0.00000  0.44006 0.00000
 279  0.43759 0.00000  0.44009 0.00000
 280  0.44208 0.00000  0.44010 0.00000
 281  0.43297 0.00000  0.44009 0.00000
 282  0.43823 0.00000  0.44003 0.00000
 283  0.44058 0.00000  0.44003 0.00000
 284  0.43996 0.00000  0.44005 0.00000
 285  0.43397 0.00000  0.44007 0.00000
 286  0.43435 0.00000  0.44001 0.00000
 287  0.43755 0.00000  0.44006 0.00000
 288  0.43517 0.00000  0.44006 0.00000
 289  0.43862 0.00000  0.44007 0.00000
 290  0.43389 0.00000  0.44009 0.00000
 291  0.44509 0.00000  0.44012 0.00000
 292  0.43917 0.00000  0.44011 0.00000
 293  0.43811 0.00000  0.44008 0.00000
 294  0.44004 0.00000  0.44012 0.00000
 295  0.43610 0.00000  0.44007 0.00000
 296  0.44033 0.00000  0.44008 0.00000
 297  0.43675 0.00000  0.44008 0.00000
 298  0.44072 0.00000  0.44009 0.00000
 299  0.43816 0.00000  0.44005 0.00000
 300  0.44642 0.00000  0.44001 0.00000
 301  0.42645 0.00000  0.43992 0.00000
 302  0.43629 0.00000  0.44000 0.00000
 303  0.43511 0.00000  0.43996 0.00000
 304  0.43894 0.00000  0.43998 0.00000
 305  0.43698 0.00000  0.43999 0.00000
 306  0.43949 0.00000  0.43998 0.00000
 307  0.43852 0.00000  0.43999 0.00000
 308  0.43882 0.00000  0.44002 0.00000
 309  0.43900 0.00000  0.44008 0.00000
 310  0.44411 0.00000  0.44015 0.00000
 311  0.44088 0.00000  0.44016 0.00000
 312  0.44295 0.00000  0.44011 0.00000
 313  0.43680 0.00000  0.44010 0.00000
 314  0.43693 0.00000  0.44010 0.00000
 315  0.44305 0.00000  0.44011 0.00000
 316  0.43548 0.00000  0.44005 0.00000
 317  0.44144 0.00000  0.44007 0.00000
 318  0.43731 0.00000  0.44010 0.00000
 319  0.43903 0.00000  0.44001 0.00000
 320  0.43593 0.00000  0.43995 0.00000
 321  0.43492 0.00000  0.43995 0.00000
 322  0.43635 0.00000  0.43997 0.00000
 323  0.43782 0.00000  0.44002 0.00000
 324  0.44297 0.00000  0.44005 0.00000
 325  0.43696 0.00000  0.44004 0.00000
 326  0.44007 0.00000  0.44003 0.00000
 327  0.44142 0.00000  0.44009 0.00000
 328  0.44192 0.00000  0.44010 0.00000
 329  0.44557 0.00000  0.44013 0.00000
 330  0.44260 0.00000  0.44014 0.00000
 331  0.43629 0.00000  0.44005 0.00000
 332  0.43940 0.00000  0.44004 0.00000
 333  0.43819 0.00000  0.44002 0.00000
 334  0.44157 0.00000  0.44006 0.00000
 335  0.44163 0.00000  0.44009 0.00000
 336  0.44562 0.00000  0.44013 0.00000
 337  0.44536 0.00000  0.44012 0.00000
 338  0.43611 0.00000  0.44013 0.00000
 339  0.43543 0.00000  0.44009 0.00000
 340  0.43749 0.00000  0.44005 0.00000
 341  0.44136 0.00000  0.44006 0.00000
 342  0.43692 0.00000  0.44004 0.00000
 343  0.44953 0.00000  0.44002 0.00000
 344  0.43588 0.00000  0.44004 0.00000
 345  0.43371 0.00000  0.43998 0.00000
 346  0.44236 0.00000  0.44001 0.00000
 347  0.44380 0.00000  0.44005 0.00000
 348  0.44085 0.00000  0.44006 0.00000
 349  0.44106 0.00000  0.44013 0.00000
 350  0.44216 0.00000  0.44016 0.00000
 351  0.44141 0.00000  0.44014 0.00000
 352  0.44100 0.00000  0.44010 0.00000
 353  0.43163 0.00000  0.44009 0.00000
 354  0.44008 0.00000  0.44013 0.00000
 355  0.43512 0.00000  0.44005 0.00000
 356  0.43857 0.00000  0.44001 0.00000
 357  0.43645 0.00000  0.44003 0.00000
 358  0.43761 0.00000  0.44000 0.00000
 359  0.43636 0.00000  0.44002 0.00000
 360  0.43706 0.00000  0.44002 0.00000
 361  0.43640 0.00000  0.44003 0.00000
 362  0.43923 0.00000  0.43997 0.00000
 363  0.43784 0.00000  0.44000 0.00000
 364  0.43737 0.00000  0.44001 0.00000
 365  0.43723 0.00000  0.44004 0.00000
 366  0.43818 0.00000  0.44005 0.00000
 367  0.44055 0.00000  0.44003 0.00000
 368  0.43657 0.00000  0.44005 0.00000
 369  0.44214 0.00000  0.44004 0.00000
 370  0.43952 0.00000  0.44004 0.00000
 371  0.44208 0.00000  0.44008 0.00000
 372  0.44313 0.00000  0.44003 0.00000
 373  0.44013 0.00000  0.44008 0.00000
 374  0.44503 0.00000  0.44005 0.00000
 375  0.43345 0.00000  0.44003 0.00000
 376  0.44153 0.00000  0.44012 0.00000
 377  0.43610 0.00000  0.44012 0.00000
 378  0.43649 0.00000  0.44013 0.00000
 379  0.43819 0.00000  0.44001 0.00000
 380  0.43846 0.00000  0.44000 0.00000
 381  0.43895 0.00000  0.44001 0.00000
 382  0.43942 0.00000  0.44004 0.00000
 383  0.44018 0.00000  0.44006 0.00000
 384  0.44529 0.00000  0.44012 0.00000
 385  0.44354 0.00000  0.44009 0.00000
 386  0.44387 0.00000  0.44005 0.00000
 387  0.43895 0.00000  0.44008 0.00000
 388  0.43832 0.00000  0.44011 0.00000
 389  0.43697 0.00000  0.44008 0.00000
 390  0.43288 0.00000  0.44003 0.00000
 391  0.43368 0.00000  0.44001 0.00000
 392  0.43667 0.00000  0.44006 0.00000
 393  0.43740 0.00000  0.44003 0.00000
 394  0.44184 0.00000  0.44000 0.00000
 395  0.44033 0.00000  0.44000 0.00000
 396  0.44105 0.00000  0.43995 0.00000
 397  0.43802 0.00000  0.44000 0.00000
 398  0.44590 0.00000  0.44001 0.00000
 399  0.44642 0.00000  0.44005 0.00000
 400  0.43125 0.00000  0.44000 0.00000
 401  0.44006 0.00000  0.44006 0.00000
