loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
 134  0.42799 0.00000  0.43929 0.00000
 135  0.44744 0.00000  0.43927 0.00000
 136  0.43781 0.00000  0.43922 0.00000
 137  0.42755 0.00000  0.43924 0.00000
 138  0.43939 0.00000  0.43925 0.00000
 139  0.43940 0.00000  0.43931 0.00000
 140  0.42665 0.00000  0.43930 0.00000
 141  0.45361 0.00000  0.43937 0.00000
 142  0.44519 0.00000  0.43932 0.00000
 143  0.44162 0.00000  0.43935 0.00000
 144  0.45823 0.00000  0.43947 0.00000
 145  0.43418 0.00000  0.43937 0.00000
 146  0.44077 0.00000  0.43946 0.00000
 147  0.43274 0.00000  0.43937 0.00000
 148  0.44073 0.00000  0.43950 0.00000
 149  0.43349 0.00000  0.43943 0.00000
 150  0.44386 0.00000  0.43940 0.00000
 151  0.44546 0.00000  0.43941 0.00000
 152  0.44116 0.00000  0.43941 0.00000
 153  0.44245 0.00000  0.43940 0.00000
 154  0.44886 0.00000  0.43943 0.00000
 155  0.44406 0.00000  0.43948 0.00000
 156  0.44178 0.00000  0.43945 0.00000
 157  0.44331 0.00000  0.43940 0.00000
 158  0.43757 0.00000  0.43943 0.00000
 159  0.43358 0.00000  0.43944 0.00000
 160  0.43206 0.00000  0.43943 0.00000
 161  0.44544 0.00000  0.43937 0.00000
 162  0.43408 0.00000  0.43936 0.00000
 163  0.44482 0.00000  0.43938 0.00000
 164  0.43027 0.00000  0.43939 0.00000
 165  0.44142 0.00000  0.43938 0.00000
 166  0.44544 0.00000  0.43941 0.00000
 167  0.43976 0.00000  0.43945 0.00000
 168  0.44141 0.00000  0.43948 0.00000
 169  0.43224 0.00000  0.43942 0.00000
 170  0.42963 0.00000  0.43947 0.00000
 171  0.44650 0.00000  0.43952 0.00000
 172  0.44741 0.00000  0.43945 0.00000
 173  0.43126 0.00000  0.43949 0.00000
 174  0.44649 0.00000  0.43956 0.00000
 175  0.43625 0.00000  0.43955 0.00000
 176  0.44044 0.00000  0.43954 0.00000
 177  0.43776 0.00000  0.43954 0.00000
 178  0.44552 0.00000  0.43969 0.00000
 179  0.42991 0.00000  0.43960 0.00000
 180  0.44823 0.00000  0.43962 0.00000
 181  0.43429 0.00000  0.43966 0.00000
 182  0.43984 0.00000  0.43965 0.00000
 183  0.43772 0.00000  0.43965 0.00000
 184  0.43090 0.00000  0.43965 0.00000
 185  0.44112 0.00000  0.43970 0.00000
 186  0.43274 0.00000  0.43966 0.00000
 187  0.42929 0.00000  0.43965 0.00000
 188  0.43241 0.00000  0.43968 0.00000
 189  0.43659 0.00000  0.43972 0.00000
 190  0.44565 0.00000  0.43974 0.00000
 191  0.43005 0.00000  0.43969 0.00000
 192  0.44106 0.00000  0.43975 0.00000
 193  0.44494 0.00000  0.43976 0.00000
 194  0.45086 0.00000  0.43982 0.00000
 195  0.42990 0.00000  0.43980 0.00000
 196  0.43884 0.00000  0.43974 0.00000
 197  0.43934 0.00000  0.43973 0.00000
 198  0.43735 0.00000  0.43970 0.00000
 199  0.43670 0.00000  0.43978 0.00000
 200  0.42813 0.00000  0.43973 0.00000
 201  0.44137 0.00000  0.43977 0.00000
 202  0.44481 0.00000  0.43973 0.00000
 203  0.43433 0.00000  0.43979 0.00000
 204  0.44146 0.00000  0.43977 0.00000
 205  0.43744 0.00000  0.43974 0.00000
 206  0.42631 0.00000  0.43967 0.00000
 207  0.42625 0.00000  0.43967 0.00000
 208  0.43671 0.00000  0.43972 0.00000
 209  0.43840 0.00000  0.43974 0.00000
 210  0.43125 0.00000  0.43970 0.00000
 211  0.44809 0.00000  0.43975 0.00000
 212  0.43368 0.00000  0.43975 0.00000
 213  0.43699 0.00000  0.43973 0.00000
 214  0.44299 0.00000  0.43973 0.00000
 215  0.42999 0.00000  0.43973 0.00000
 216  0.44111 0.00000  0.43972 0.00000
 217  0.43235 0.00000  0.43976 0.00000
 218  0.42822 0.00000  0.43978 0.00000
 219  0.43925 0.00000  0.43980 0.00000
 220  0.43711 0.00000  0.43981 0.00000
 221  0.43096 0.00000  0.43980 0.00000
 222  0.43979 0.00000  0.43983 0.00000
 223  0.43378 0.00000  0.43979 0.00000
 224  0.43586 0.00000  0.43980 0.00000
 225  0.43215 0.00000  0.43975 0.00000
 226  0.42718 0.00000  0.43979 0.00000
 227  0.43942 0.00000  0.43975 0.00000
 228  0.44470 0.00000  0.43974 0.00000
 229  0.43673 0.00000  0.43979 0.00000
 230  0.44440 0.00000  0.43979 0.00000
 231  0.43659 0.00000  0.43979 0.00000
 232  0.44340 0.00000  0.43982 0.00000
 233  0.43415 0.00000  0.43980 0.00000
 234  0.43353 0.00000  0.43982 0.00000
 235  0.43710 0.00000  0.43984 0.00000
 236  0.44011 0.00000  0.43976 0.00000
 237  0.43235 0.00000  0.43978 0.00000
 238  0.44014 0.00000  0.43980 0.00000
 239  0.44231 0.00000  0.43974 0.00000
 240  0.43631 0.00000  0.43973 0.00000
 241  0.43783 0.00000  0.43971 0.00000
 242  0.43457 0.00000  0.43972 0.00000
 243  0.43047 0.00000  0.43973 0.00000
 244  0.43207 0.00000  0.43981 0.00000
 245  0.43094 0.00000  0.43983 0.00000
 246  0.43457 0.00000  0.43984 0.00000
 247  0.44103 0.00000  0.43983 0.00000
 248  0.44540 0.00000  0.43982 0.00000
 249  0.43211 0.00000  0.43980 0.00000
 250  0.43770 0.00000  0.43980 0.00000
 251  0.44070 0.00000  0.43977 0.00000
 252  0.42841 0.00000  0.43974 0.00000
 253  0.43450 0.00000  0.43973 0.00000
 254  0.43828 0.00000  0.43973 0.00000
 255  0.43051 0.00000  0.43973 0.00000
 256  0.43521 0.00000  0.43973 0.00000
 257  0.44207 0.00000  0.43976 0.00000
 258  0.43434 0.00000  0.43977 0.00000
 259  0.44397 0.00000  0.43989 0.00000
 260  0.44141 0.00000  0.43982 0.00000
 261  0.43895 0.00000  0.43976 0.00000
 262  0.42959 0.00000  0.43977 0.00000
 263  0.44226 0.00000  0.43978 0.00000
 264  0.44606 0.00000  0.43980 0.00000
 265  0.43318 0.00000  0.43976 0.00000
 266  0.43562 0.00000  0.43978 0.00000
 267  0.43294 0.00000  0.43976 0.00000
 268  0.42902 0.00000  0.43978 0.00000
 269  0.43616 0.00000  0.43976 0.00000
 270  0.42922 0.00000  0.43976 0.00000
 271  0.43986 0.00000  0.43983 0.00000
 272  0.43333 0.00000  0.43981 0.00000
 273  0.43098 0.00000  0.43981 0.00000
 274  0.44200 0.00000  0.43983 0.00000
 275  0.43569 0.00000  0.43989 0.00000
 276  0.44626 0.00000  0.43990 0.00000
 277  0.45113 0.00000  0.43990 0.00000
 278  0.44323 0.00000  0.43988 0.00000
 279  0.43224 0.00000  0.43988 0.00000
 280  0.43465 0.00000  0.43987 0.00000
 281  0.43971 0.00000  0.43984 0.00000
 282  0.43652 0.00000  0.43981 0.00000
 283  0.43641 0.00000  0.43979 0.00000
 284  0.44719 0.00000  0.43980 0.00000
 285  0.44127 0.00000  0.43972 0.00000
 286  0.43978 0.00000  0.43975 0.00000
 287  0.43275 0.00000  0.43976 0.00000
 288  0.44202 0.00000  0.43970 0.00000
 289  0.44078 0.00000  0.43968 0.00000
 290  0.43047 0.00000  0.43967 0.00000
 291  0.43619 0.00000  0.43970 0.00000
 292  0.44691 0.00000  0.43970 0.00000
 293  0.44014 0.00000  0.43969 0.00000
 294  0.42817 0.00000  0.43969 0.00000
 295  0.42911 0.00000  0.43972 0.00000
 296  0.44199 0.00000  0.43971 0.00000
 297  0.43099 0.00000  0.43971 0.00000
 298  0.42835 0.00000  0.43969 0.00000
 299  0.42461 0.00000  0.43966 0.00000
 300  0.44474 0.00000  0.43966 0.00000
 301  0.43870 0.00000  0.43971 0.00000
 302  0.45057 0.00000  0.43974 0.00000
 303  0.44054 0.00000  0.43976 0.00000
 304  0.43758 0.00000  0.43976 0.00000
 305  0.44156 0.00000  0.43977 0.00000
 306  0.43073 0.00000  0.43974 0.00000
 307  0.43963 0.00000  0.43977 0.00000
 308  0.42479 0.00000  0.43982 0.00000
 309  0.43507 0.00000  0.43978 0.00000
 310  0.43963 0.00000  0.43982 0.00000
 311  0.43573 0.00000  0.43981 0.00000
 312  0.42984 0.00000  0.43978 0.00000
 313  0.42856 0.00000  0.43979 0.00000
 314  0.42880 0.00000  0.43982 0.00000
 315  0.42706 0.00000  0.43985 0.00000
 316  0.43585 0.00000  0.43983 0.00000
 317  0.43940 0.00000  0.43978 0.00000
 318  0.43299 0.00000  0.43980 0.00000
 319  0.43341 0.00000  0.43981 0.00000
 320  0.44512 0.00000  0.43985 0.00000
 321  0.42752 0.00000  0.43979 0.00000
 322  0.43421 0.00000  0.43977 0.00000
 323  0.44957 0.00000  0.43976 0.00000
 324  0.43460 0.00000  0.43976 0.00000
 325  0.43599 0.00000  0.43974 0.00000
 326  0.43712 0.00000  0.43983 0.00000
 327  0.42921 0.00000  0.43977 0.00000
 328  0.43258 0.00000  0.43980 0.00000
 329  0.44579 0.00000  0.43982 0.00000
 330  0.43686 0.00000  0.43983 0.00000
 331  0.43723 0.00000  0.43989 0.00000
 332  0.44044 0.00000  0.43981 0.00000
 333  0.44060 0.00000  0.43975 0.00000
 334  0.43590 0.00000  0.43973 0.00000
 335  0.44401 0.00000  0.43975 0.00000
 336  0.43685 0.00000  0.43978 0.00000
 337  0.44225 0.00000  0.43977 0.00000
 338  0.43015 0.00000  0.43973 0.00000
 339  0.43744 0.00000  0.43970 0.00000
 340  0.42716 0.00000  0.43972 0.00000
 341  0.45203 0.00000  0.43972 0.00000
 342  0.43375 0.00000  0.43973 0.00000
 343  0.42663 0.00000  0.43970 0.00000
 344  0.42556 0.00000  0.43971 0.00000
 345  0.44187 0.00000  0.43971 0.00000
 346  0.43334 0.00000  0.43972 0.00000
 347  0.43620 0.00000  0.43971 0.00000
 348  0.44387 0.00000  0.43972 0.00000
 349  0.43386 0.00000  0.43976 0.00000
 350  0.44016 0.00000  0.43973 0.00000
 351  0.42892 0.00000  0.43969 0.00000
 352  0.43324 0.00000  0.43970 0.00000
 353  0.43631 0.00000  0.43971 0.00000
 354  0.43817 0.00000  0.43974 0.00000
 355  0.43810 0.00000  0.43975 0.00000
 356  0.42952 0.00000  0.43972 0.00000
 357  0.43562 0.00000  0.43972 0.00000
 358  0.43370 0.00000  0.43974 0.00000
 359  0.43571 0.00000  0.43970 0.00000
 360  0.43032 0.00000  0.43970 0.00000
 361  0.44228 0.00000  0.43970 0.00000
 362  0.43917 0.00000  0.43971 0.00000
 363  0.43635 0.00000  0.43978 0.00000
 364  0.43154 0.00000  0.43974 0.00000
 365  0.43789 0.00000  0.43971 0.00000
 366  0.43605 0.00000  0.43974 0.00000
 367  0.44003 0.00000  0.43975 0.00000
 368  0.44507 0.00000  0.43987 0.00000
 369  0.43585 0.00000  0.43976 0.00000
 370  0.43867 0.00000  0.43976 0.00000
 371  0.43936 0.00000  0.43969 0.00000
 372  0.43430 0.00000  0.43970 0.00000
 373  0.43783 0.00000  0.43970 0.00000
 374  0.44270 0.00000  0.43968 0.00000
 375  0.43899 0.00000  0.43969 0.00000
 376  0.42548 0.00000  0.43967 0.00000
 377  0.44124 0.00000  0.43975 0.00000
 378  0.43620 0.00000  0.43976 0.00000
