loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.90420 0.00000  0.86327 0.18740
   1  0.83084 0.00000  0.83982 0.18249
   2  0.84569 0.00000  0.83501 0.18124
   3  0.82240 0.00000  0.83215 0.18033
   4  0.83216 0.00000  0.83109 0.17983
   5  0.81230 0.00000  0.83024 0.17937
   6  0.81181 0.00000  0.82987 0.17912
   7  0.79704 0.00000  0.82961 0.17883
   8  0.80785 0.00000  0.82969 0.17872
   9  0.80946 0.00000  0.82977 0.17859
  10  0.81002 0.00000  0.82975 0.17851
  11  0.79481 0.00000  0.82984 0.17841
  12  0.81013 0.00000  0.82880 0.17807
  13  0.80901 0.00000  0.82849 0.17788
  14  0.82205 0.00000  0.82813 0.17771
  15  0.81113 0.00000  0.82816 0.17769
  16  0.81175 0.00000  0.82800 0.17758
  17  0.79229 0.00000  0.82791 0.17740
  18  0.82379 0.00000  0.82756 0.17725
  19  0.81474 0.00000  0.82729 0.17711
  20  0.79702 0.00000  0.82731 0.17706
  21  0.82182 0.00000  0.82719 0.17701
  22  0.83226 0.00000  0.82700 0.17695
  23  0.80486 0.00000  0.82698 0.17690
  24  0.81012 0.00000  0.82697 0.17684
  25  0.79885 0.00000  0.82691 0.17676
  26  0.81860 0.00000  0.82673 0.17668
  27  0.81688 0.00000  0.82651 0.17656
  28  0.80610 0.00000  0.82678 0.17659
  29  0.83303 0.00000  0.82625 0.17640
  30  0.80086 0.00000  0.82614 0.17631
  31  0.79527 0.00000  0.82618 0.17629
  32  0.81901 0.00000  0.82594 0.17615
  33  0.81517 0.00000  0.82598 0.17619
  34  0.82788 0.00000  0.82580 0.17607
  35  0.82635 0.00000  0.82575 0.17604
  36  0.79554 0.00000  0.82601 0.17612
  37  0.81333 0.00000  0.82586 0.17603
  38  0.79425 0.00000  0.82575 0.17597
  39  0.82461 0.00000  0.82557 0.17590
  40  0.81966 0.00000  0.82553 0.17587
  41  0.82651 0.00000  0.82540 0.17575
  42  0.82149 0.00000  0.82540 0.17575
