loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
 134  0.43345 0.00000  0.43918 0.00000
 135  0.43663 0.00000  0.43918 0.00000
 136  0.43444 0.00000  0.43916 0.00000
 137  0.43878 0.00000  0.43915 0.00000
 138  0.43591 0.00000  0.43915 0.00000
 139  0.43891 0.00000  0.43915 0.00000
 140  0.43445 0.00000  0.43914 0.00000
 141  0.43356 0.00000  0.43912 0.00000
 142  0.43800 0.00000  0.43914 0.00000
 143  0.43851 0.00000  0.43914 0.00000
 144  0.43696 0.00000  0.43914 0.00000
 145  0.43780 0.00000  0.43914 0.00000
 146  0.43692 0.00000  0.43915 0.00000
 147  0.43565 0.00000  0.43914 0.00000
 148  0.43811 0.00000  0.43917 0.00000
 149  0.43299 0.00000  0.43915 0.00000
 150  0.43658 0.00000  0.43915 0.00000
 151  0.43686 0.00000  0.43913 0.00000
 152  0.43392 0.00000  0.43912 0.00000
 153  0.43524 0.00000  0.43910 0.00000
 154  0.43550 0.00000  0.43909 0.00000
 155  0.43530 0.00000  0.43908 0.00000
 156  0.43389 0.00000  0.43907 0.00000
 157  0.43494 0.00000  0.43908 0.00000
 158  0.43428 0.00000  0.43910 0.00000
 159  0.43615 0.00000  0.43910 0.00000
 160  0.43358 0.00000  0.43909 0.00000
 161  0.43913 0.00000  0.43909 0.00000
 162  0.43610 0.00000  0.43908 0.00000
 163  0.43809 0.00000  0.43910 0.00000
 164  0.43535 0.00000  0.43909 0.00000
 165  0.43337 0.00000  0.43909 0.00000
 166  0.43332 0.00000  0.43908 0.00000
 167  0.43426 0.00000  0.43907 0.00000
 168  0.43960 0.00000  0.43906 0.00000
 169  0.43617 0.00000  0.43907 0.00000
 170  0.43417 0.00000  0.43904 0.00000
 171  0.43478 0.00000  0.43901 0.00000
 172  0.43746 0.00000  0.43901 0.00000
 173  0.43509 0.00000  0.43900 0.00000
 174  0.43891 0.00000  0.43899 0.00000
 175  0.43130 0.00000  0.43898 0.00000
 176  0.43453 0.00000  0.43899 0.00000
 177  0.43848 0.00000  0.43897 0.00000
 178  0.43512 0.00000  0.43898 0.00000
 179  0.43305 0.00000  0.43896 0.00000
 180  0.43235 0.00000  0.43896 0.00000
 181  0.43815 0.00000  0.43894 0.00000
 182  0.43527 0.00000  0.43895 0.00000
 183  0.43610 0.00000  0.43895 0.00000
 184  0.43550 0.00000  0.43895 0.00000
 185  0.43781 0.00000  0.43894 0.00000
 186  0.43417 0.00000  0.43894 0.00000
 187  0.43515 0.00000  0.43892 0.00000
 188  0.43630 0.00000  0.43893 0.00000
 189  0.43362 0.00000  0.43892 0.00000
 190  0.43260 0.00000  0.43891 0.00000
 191  0.43406 0.00000  0.43890 0.00000
