loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
 134  0.42760 0.00000  0.43908 0.00000
 135  0.44744 0.00000  0.43906 0.00000
 136  0.43770 0.00000  0.43901 0.00000
 137  0.42742 0.00000  0.43902 0.00000
 138  0.43936 0.00000  0.43903 0.00000
 139  0.43931 0.00000  0.43909 0.00000
 140  0.42656 0.00000  0.43908 0.00000
 141  0.45352 0.00000  0.43915 0.00000
 142  0.44501 0.00000  0.43910 0.00000
 143  0.44152 0.00000  0.43912 0.00000
 144  0.45814 0.00000  0.43923 0.00000
 145  0.43394 0.00000  0.43915 0.00000
 146  0.44065 0.00000  0.43923 0.00000
 147  0.43256 0.00000  0.43915 0.00000
 148  0.44069 0.00000  0.43927 0.00000
 149  0.43331 0.00000  0.43920 0.00000
 150  0.44373 0.00000  0.43916 0.00000
 151  0.44550 0.00000  0.43917 0.00000
 152  0.44117 0.00000  0.43918 0.00000
 153  0.44225 0.00000  0.43917 0.00000
 154  0.44861 0.00000  0.43920 0.00000
 155  0.44405 0.00000  0.43925 0.00000
 156  0.44156 0.00000  0.43922 0.00000
 157  0.44323 0.00000  0.43917 0.00000
 158  0.43741 0.00000  0.43920 0.00000
 159  0.43353 0.00000  0.43920 0.00000
 160  0.43184 0.00000  0.43919 0.00000
 161  0.44532 0.00000  0.43913 0.00000
 162  0.43386 0.00000  0.43912 0.00000
 163  0.44465 0.00000  0.43914 0.00000
 164  0.43022 0.00000  0.43915 0.00000
 165  0.44129 0.00000  0.43914 0.00000
 166  0.44521 0.00000  0.43918 0.00000
 167  0.43970 0.00000  0.43921 0.00000
 168  0.44132 0.00000  0.43924 0.00000
 169  0.43215 0.00000  0.43919 0.00000
 170  0.42956 0.00000  0.43923 0.00000
 171  0.44638 0.00000  0.43928 0.00000
 172  0.44723 0.00000  0.43921 0.00000
 173  0.43102 0.00000  0.43926 0.00000
 174  0.44646 0.00000  0.43933 0.00000
 175  0.43631 0.00000  0.43932 0.00000
 176  0.44035 0.00000  0.43931 0.00000
 177  0.43755 0.00000  0.43932 0.00000
 178  0.44546 0.00000  0.43946 0.00000
 179  0.42971 0.00000  0.43938 0.00000
 180  0.44799 0.00000  0.43940 0.00000
 181  0.43409 0.00000  0.43944 0.00000
 182  0.43981 0.00000  0.43943 0.00000
 183  0.43771 0.00000  0.43943 0.00000
 184  0.43073 0.00000  0.43943 0.00000
 185  0.44120 0.00000  0.43948 0.00000
 186  0.43246 0.00000  0.43944 0.00000
 187  0.42909 0.00000  0.43943 0.00000
 188  0.43222 0.00000  0.43946 0.00000
 189  0.43635 0.00000  0.43951 0.00000
 190  0.44562 0.00000  0.43953 0.00000
 191  0.42978 0.00000  0.43948 0.00000
 192  0.44093 0.00000  0.43954 0.00000
 193  0.44476 0.00000  0.43955 0.00000
 194  0.45078 0.00000  0.43961 0.00000
 195  0.42987 0.00000  0.43959 0.00000
 196  0.43884 0.00000  0.43953 0.00000
 197  0.43919 0.00000  0.43953 0.00000
 198  0.43726 0.00000  0.43951 0.00000
 199  0.43664 0.00000  0.43959 0.00000
 200  0.42799 0.00000  0.43954 0.00000
 201  0.44131 0.00000  0.43958 0.00000
 202  0.44463 0.00000  0.43954 0.00000
 203  0.43426 0.00000  0.43960 0.00000
 204  0.44140 0.00000  0.43958 0.00000
 205  0.43731 0.00000  0.43955 0.00000
 206  0.42611 0.00000  0.43948 0.00000
 207  0.42613 0.00000  0.43949 0.00000
 208  0.43668 0.00000  0.43954 0.00000
 209  0.43832 0.00000  0.43956 0.00000
 210  0.43119 0.00000  0.43953 0.00000
 211  0.44800 0.00000  0.43957 0.00000
 212  0.43348 0.00000  0.43959 0.00000
 213  0.43691 0.00000  0.43956 0.00000
 214  0.44283 0.00000  0.43957 0.00000
 215  0.43001 0.00000  0.43957 0.00000
 216  0.44107 0.00000  0.43955 0.00000
 217  0.43223 0.00000  0.43960 0.00000
 218  0.42806 0.00000  0.43963 0.00000
 219  0.43917 0.00000  0.43965 0.00000
 220  0.43703 0.00000  0.43965 0.00000
 221  0.43085 0.00000  0.43965 0.00000
 222  0.43969 0.00000  0.43968 0.00000
 223  0.43365 0.00000  0.43965 0.00000
 224  0.43587 0.00000  0.43966 0.00000
 225  0.43210 0.00000  0.43961 0.00000
 226  0.42712 0.00000  0.43965 0.00000
 227  0.43938 0.00000  0.43962 0.00000
 228  0.44468 0.00000  0.43961 0.00000
 229  0.43678 0.00000  0.43966 0.00000
 230  0.44430 0.00000  0.43966 0.00000
 231  0.43653 0.00000  0.43967 0.00000
 232  0.44328 0.00000  0.43970 0.00000
 233  0.43405 0.00000  0.43968 0.00000
 234  0.43349 0.00000  0.43971 0.00000
 235  0.43705 0.00000  0.43973 0.00000
 236  0.43997 0.00000  0.43965 0.00000
 237  0.43225 0.00000  0.43968 0.00000
 238  0.44009 0.00000  0.43969 0.00000
 239  0.44235 0.00000  0.43964 0.00000
 240  0.43621 0.00000  0.43963 0.00000
 241  0.43774 0.00000  0.43961 0.00000
 242  0.43458 0.00000  0.43963 0.00000
 243  0.43041 0.00000  0.43964 0.00000
 244  0.43208 0.00000  0.43972 0.00000
 245  0.43091 0.00000  0.43974 0.00000
 246  0.43455 0.00000  0.43976 0.00000
 247  0.44097 0.00000  0.43975 0.00000
 248  0.44539 0.00000  0.43974 0.00000
 249  0.43204 0.00000  0.43972 0.00000
 250  0.43769 0.00000  0.43972 0.00000
 251  0.44063 0.00000  0.43969 0.00000
 252  0.42835 0.00000  0.43967 0.00000
 253  0.43450 0.00000  0.43966 0.00000
 254  0.43822 0.00000  0.43966 0.00000
 255  0.43049 0.00000  0.43966 0.00000
 256  0.43516 0.00000  0.43966 0.00000
 257  0.44209 0.00000  0.43970 0.00000
 258  0.43436 0.00000  0.43971 0.00000
 259  0.44399 0.00000  0.43983 0.00000
 260  0.44141 0.00000  0.43977 0.00000
 261  0.43896 0.00000  0.43971 0.00000
 262  0.42963 0.00000  0.43972 0.00000
 263  0.44223 0.00000  0.43974 0.00000
 264  0.44601 0.00000  0.43975 0.00000
 265  0.43320 0.00000  0.43972 0.00000
 266  0.43572 0.00000  0.43974 0.00000
 267  0.43294 0.00000  0.43972 0.00000
 268  0.42900 0.00000  0.43974 0.00000
 269  0.43612 0.00000  0.43972 0.00000
 270  0.42923 0.00000  0.43973 0.00000
 271  0.43988 0.00000  0.43980 0.00000
 272  0.43332 0.00000  0.43979 0.00000
 273  0.43101 0.00000  0.43978 0.00000
 274  0.44195 0.00000  0.43980 0.00000
 275  0.43570 0.00000  0.43986 0.00000
 276  0.44635 0.00000  0.43988 0.00000
 277  0.45111 0.00000  0.43988 0.00000
 278  0.44326 0.00000  0.43987 0.00000
 279  0.43229 0.00000  0.43987 0.00000
 280  0.43474 0.00000  0.43986 0.00000
 281  0.43973 0.00000  0.43983 0.00000
 282  0.43658 0.00000  0.43980 0.00000
 283  0.43641 0.00000  0.43978 0.00000
 284  0.44723 0.00000  0.43979 0.00000
 285  0.44123 0.00000  0.43971 0.00000
 286  0.43980 0.00000  0.43974 0.00000
 287  0.43278 0.00000  0.43975 0.00000
 288  0.44202 0.00000  0.43970 0.00000
 289  0.44085 0.00000  0.43967 0.00000
 290  0.43044 0.00000  0.43966 0.00000
 291  0.43620 0.00000  0.43970 0.00000
 292  0.44694 0.00000  0.43970 0.00000
 293  0.44018 0.00000  0.43970 0.00000
 294  0.42821 0.00000  0.43970 0.00000
 295  0.42915 0.00000  0.43973 0.00000
 296  0.44203 0.00000  0.43971 0.00000
 297  0.43102 0.00000  0.43971 0.00000
 298  0.42835 0.00000  0.43970 0.00000
 299  0.42461 0.00000  0.43967 0.00000
 300  0.44477 0.00000  0.43966 0.00000
 301  0.43873 0.00000  0.43972 0.00000
 302  0.45059 0.00000  0.43976 0.00000
 303  0.44063 0.00000  0.43977 0.00000
 304  0.43760 0.00000  0.43978 0.00000
 305  0.44157 0.00000  0.43979 0.00000
 306  0.43080 0.00000  0.43976 0.00000
 307  0.43965 0.00000  0.43979 0.00000
 308  0.42486 0.00000  0.43984 0.00000
 309  0.43510 0.00000  0.43980 0.00000
 310  0.43967 0.00000  0.43984 0.00000
 311  0.43574 0.00000  0.43984 0.00000
 312  0.42985 0.00000  0.43981 0.00000
 313  0.42858 0.00000  0.43982 0.00000
 314  0.42884 0.00000  0.43985 0.00000
 315  0.42709 0.00000  0.43988 0.00000
 316  0.43586 0.00000  0.43986 0.00000
 317  0.43946 0.00000  0.43981 0.00000
 318  0.43304 0.00000  0.43983 0.00000
 319  0.43343 0.00000  0.43985 0.00000
 320  0.44517 0.00000  0.43989 0.00000
 321  0.42758 0.00000  0.43983 0.00000
 322  0.43424 0.00000  0.43980 0.00000
 323  0.44961 0.00000  0.43980 0.00000
 324  0.43465 0.00000  0.43980 0.00000
 325  0.43602 0.00000  0.43978 0.00000
 326  0.43714 0.00000  0.43987 0.00000
 327  0.42926 0.00000  0.43981 0.00000
 328  0.43261 0.00000  0.43984 0.00000
 329  0.44585 0.00000  0.43986 0.00000
 330  0.43690 0.00000  0.43987 0.00000
 331  0.43724 0.00000  0.43993 0.00000
 332  0.44048 0.00000  0.43986 0.00000
 333  0.44068 0.00000  0.43979 0.00000
 334  0.43593 0.00000  0.43978 0.00000
 335  0.44408 0.00000  0.43980 0.00000
 336  0.43688 0.00000  0.43983 0.00000
 337  0.44231 0.00000  0.43982 0.00000
 338  0.43021 0.00000  0.43978 0.00000
 339  0.43751 0.00000  0.43975 0.00000
 340  0.42723 0.00000  0.43977 0.00000
 341  0.45206 0.00000  0.43978 0.00000
 342  0.43380 0.00000  0.43978 0.00000
 343  0.42666 0.00000  0.43975 0.00000
 344  0.42562 0.00000  0.43976 0.00000
 345  0.44191 0.00000  0.43976 0.00000
 346  0.43340 0.00000  0.43977 0.00000
 347  0.43623 0.00000  0.43976 0.00000
 348  0.44390 0.00000  0.43978 0.00000
 349  0.43391 0.00000  0.43981 0.00000
 350  0.44019 0.00000  0.43978 0.00000
 351  0.42901 0.00000  0.43974 0.00000
 352  0.43328 0.00000  0.43976 0.00000
 353  0.43633 0.00000  0.43976 0.00000
 354  0.43825 0.00000  0.43979 0.00000
 355  0.43813 0.00000  0.43980 0.00000
 356  0.42960 0.00000  0.43978 0.00000
 357  0.43569 0.00000  0.43977 0.00000
 358  0.43379 0.00000  0.43979 0.00000
 359  0.43573 0.00000  0.43976 0.00000
 360  0.43038 0.00000  0.43976 0.00000
 361  0.44232 0.00000  0.43976 0.00000
 362  0.43921 0.00000  0.43977 0.00000
 363  0.43639 0.00000  0.43984 0.00000
 364  0.43156 0.00000  0.43981 0.00000
 365  0.43793 0.00000  0.43977 0.00000
 366  0.43611 0.00000  0.43981 0.00000
 367  0.44005 0.00000  0.43981 0.00000
 368  0.44512 0.00000  0.43993 0.00000
 369  0.43596 0.00000  0.43982 0.00000
 370  0.43873 0.00000  0.43982 0.00000
 371  0.43938 0.00000  0.43975 0.00000
 372  0.43431 0.00000  0.43976 0.00000
 373  0.43787 0.00000  0.43977 0.00000
 374  0.44279 0.00000  0.43974 0.00000
 375  0.43902 0.00000  0.43975 0.00000
 376  0.42557 0.00000  0.43973 0.00000
 377  0.44127 0.00000  0.43981 0.00000
 378  0.43626 0.00000  0.43982 0.00000
 379  0.45220 0.00000  0.43980 0.00000
 380  0.44046 0.00000  0.43982 0.00000
 381  0.44230 0.00000  0.43981 0.00000
 382  0.43219 0.00000  0.43982 0.00000
 383  0.43373 0.00000  0.43974 0.00000
 384  0.43652 0.00000  0.43978 0.00000
 385  0.43912 0.00000  0.43980 0.00000
 386  0.43205 0.00000  0.43983 0.00000
 387  0.43121 0.00000  0.43980 0.00000
 388  0.44035 0.00000  0.43981 0.00000
 389  0.43504 0.00000  0.43983 0.00000
 390  0.43727 0.00000  0.43980 0.00000
 391  0.43277 0.00000  0.43984 0.00000
 392  0.43228 0.00000  0.43980 0.00000
 393  0.44670 0.00000  0.43982 0.00000
 394  0.43135 0.00000  0.43980 0.00000
 395  0.44078 0.00000  0.43982 0.00000
 396  0.43661 0.00000  0.43978 0.00000
 397  0.43260 0.00000  0.43977 0.00000
 398  0.42540 0.00000  0.43976 0.00000
