loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
 134  0.43346 0.00000  0.43933 0.00000
 135  0.43668 0.00000  0.43933 0.00000
 136  0.43445 0.00000  0.43932 0.00000
 137  0.43876 0.00000  0.43931 0.00000
 138  0.43593 0.00000  0.43931 0.00000
 139  0.43893 0.00000  0.43932 0.00000
 140  0.43448 0.00000  0.43930 0.00000
 141  0.43356 0.00000  0.43929 0.00000
 142  0.43799 0.00000  0.43931 0.00000
 143  0.43859 0.00000  0.43931 0.00000
 144  0.43700 0.00000  0.43932 0.00000
 145  0.43786 0.00000  0.43931 0.00000
 146  0.43693 0.00000  0.43933 0.00000
 147  0.43569 0.00000  0.43932 0.00000
 148  0.43815 0.00000  0.43935 0.00000
 149  0.43305 0.00000  0.43933 0.00000
 150  0.43666 0.00000  0.43934 0.00000
 151  0.43687 0.00000  0.43932 0.00000
 152  0.43401 0.00000  0.43931 0.00000
 153  0.43529 0.00000  0.43929 0.00000
 154  0.43554 0.00000  0.43928 0.00000
 155  0.43532 0.00000  0.43928 0.00000
 156  0.43393 0.00000  0.43926 0.00000
 157  0.43502 0.00000  0.43927 0.00000
 158  0.43432 0.00000  0.43930 0.00000
 159  0.43618 0.00000  0.43931 0.00000
 160  0.43365 0.00000  0.43930 0.00000
 161  0.43919 0.00000  0.43930 0.00000
 162  0.43619 0.00000  0.43929 0.00000
 163  0.43817 0.00000  0.43932 0.00000
 164  0.43544 0.00000  0.43931 0.00000
 165  0.43344 0.00000  0.43931 0.00000
 166  0.43340 0.00000  0.43930 0.00000
 167  0.43430 0.00000  0.43930 0.00000
 168  0.43971 0.00000  0.43929 0.00000
 169  0.43623 0.00000  0.43930 0.00000
 170  0.43425 0.00000  0.43927 0.00000
 171  0.43486 0.00000  0.43923 0.00000
 172  0.43755 0.00000  0.43924 0.00000
 173  0.43519 0.00000  0.43923 0.00000
 174  0.43897 0.00000  0.43922 0.00000
 175  0.43137 0.00000  0.43921 0.00000
 176  0.43460 0.00000  0.43922 0.00000
 177  0.43861 0.00000  0.43921 0.00000
 178  0.43522 0.00000  0.43922 0.00000
 179  0.43313 0.00000  0.43920 0.00000
 180  0.43246 0.00000  0.43920 0.00000
 181  0.43822 0.00000  0.43918 0.00000
 182  0.43536 0.00000  0.43919 0.00000
 183  0.43620 0.00000  0.43920 0.00000
 184  0.43560 0.00000  0.43919 0.00000
 185  0.43792 0.00000  0.43919 0.00000
 186  0.43426 0.00000  0.43919 0.00000
 187  0.43528 0.00000  0.43917 0.00000
 188  0.43641 0.00000  0.43918 0.00000
 189  0.43373 0.00000  0.43917 0.00000
 190  0.43270 0.00000  0.43916 0.00000
 191  0.43419 0.00000  0.43916 0.00000
 192  0.43694 0.00000  0.43914 0.00000
 193  0.43532 0.00000  0.43913 0.00000
 194  0.43623 0.00000  0.43912 0.00000
 195  0.43523 0.00000  0.43912 0.00000
 196  0.43338 0.00000  0.43913 0.00000
 197  0.43430 0.00000  0.43913 0.00000
 198  0.43706 0.00000  0.43916 0.00000
 199  0.43691 0.00000  0.43916 0.00000
 200  0.43617 0.00000  0.43912 0.00000
 201  0.43263 0.00000  0.43910 0.00000
 202  0.43449 0.00000  0.43909 0.00000
 203  0.43282 0.00000  0.43909 0.00000
 204  0.43607 0.00000  0.43909 0.00000
 205  0.43346 0.00000  0.43910 0.00000
 206  0.43900 0.00000  0.43909 0.00000
 207  0.43231 0.00000  0.43907 0.00000
 208  0.43646 0.00000  0.43907 0.00000
 209  0.43730 0.00000  0.43907 0.00000
 210  0.43651 0.00000  0.43907 0.00000
 211  0.43312 0.00000  0.43907 0.00000
 212  0.43564 0.00000  0.43908 0.00000
 213  0.43323 0.00000  0.43906 0.00000
 214  0.43544 0.00000  0.43907 0.00000
 215  0.43486 0.00000  0.43908 0.00000
 216  0.43233 0.00000  0.43908 0.00000
 217  0.43939 0.00000  0.43910 0.00000
 218  0.43532 0.00000  0.43910 0.00000
 219  0.43752 0.00000  0.43910 0.00000
 220  0.43593 0.00000  0.43908 0.00000
 221  0.43484 0.00000  0.43906 0.00000
 222  0.43488 0.00000  0.43907 0.00000
