loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
 134  0.43720 0.00000  0.43973 0.00000
 135  0.44198 0.00000  0.43976 0.00000
 136  0.44053 0.00000  0.43977 0.00000
 137  0.43884 0.00000  0.43978 0.00000
 138  0.43721 0.00000  0.43978 0.00000
 139  0.43914 0.00000  0.43980 0.00000
 140  0.44347 0.00000  0.43984 0.00000
 141  0.44702 0.00000  0.43984 0.00000
 142  0.44350 0.00000  0.43988 0.00000
 143  0.44012 0.00000  0.43988 0.00000
 144  0.43956 0.00000  0.43984 0.00000
 145  0.44375 0.00000  0.43985 0.00000
 146  0.43615 0.00000  0.43986 0.00000
 147  0.44395 0.00000  0.43988 0.00000
 148  0.43499 0.00000  0.43983 0.00000
 149  0.43847 0.00000  0.43983 0.00000
 150  0.43940 0.00000  0.43984 0.00000
 151  0.43920 0.00000  0.43976 0.00000
 152  0.43601 0.00000  0.43974 0.00000
 153  0.43913 0.00000  0.43974 0.00000
 154  0.44250 0.00000  0.43980 0.00000
 155  0.43842 0.00000  0.43980 0.00000
 156  0.43917 0.00000  0.43979 0.00000
 157  0.44411 0.00000  0.43985 0.00000
 158  0.43830 0.00000  0.43984 0.00000
 159  0.43703 0.00000  0.43976 0.00000
 160  0.43663 0.00000  0.43984 0.00000
 161  0.43536 0.00000  0.43981 0.00000
 162  0.44375 0.00000  0.43987 0.00000
 163  0.44368 0.00000  0.43985 0.00000
 164  0.43284 0.00000  0.43985 0.00000
 165  0.44107 0.00000  0.43987 0.00000
 166  0.43901 0.00000  0.43989 0.00000
 167  0.43207 0.00000  0.43983 0.00000
 168  0.43704 0.00000  0.43984 0.00000
 169  0.44089 0.00000  0.43985 0.00000
 170  0.44225 0.00000  0.43992 0.00000
 171  0.44338 0.00000  0.43992 0.00000
 172  0.43968 0.00000  0.43988 0.00000
 173  0.44154 0.00000  0.43989 0.00000
 174  0.43930 0.00000  0.43997 0.00000
 175  0.43705 0.00000  0.43995 0.00000
 176  0.43388 0.00000  0.43992 0.00000
 177  0.43826 0.00000  0.43988 0.00000
 178  0.43770 0.00000  0.43990 0.00000
 179  0.44451 0.00000  0.43994 0.00000
 180  0.43749 0.00000  0.44001 0.00000
 181  0.43762 0.00000  0.44003 0.00000
 182  0.43720 0.00000  0.44002 0.00000
 183  0.43863 0.00000  0.44003 0.00000
 184  0.44289 0.00000  0.44006 0.00000
 185  0.44159 0.00000  0.44005 0.00000
 186  0.44449 0.00000  0.44007 0.00000
 187  0.43749 0.00000  0.44002 0.00000
 188  0.44081 0.00000  0.43999 0.00000
 189  0.44191 0.00000  0.43996 0.00000
 190  0.44045 0.00000  0.44001 0.00000
 191  0.44018 0.00000  0.43999 0.00000
 192  0.44256 0.00000  0.44007 0.00000
 193  0.43801 0.00000  0.44011 0.00000
 194  0.43494 0.00000  0.44005 0.00000
 195  0.43496 0.00000  0.44000 0.00000
 196  0.43754 0.00000  0.43995 0.00000
 197  0.44574 0.00000  0.44002 0.00000
 198  0.43456 0.00000  0.44000 0.00000
 199  0.43823 0.00000  0.43999 0.00000
 200  0.43832 0.00000  0.43996 0.00000
 201  0.43868 0.00000  0.43999 0.00000
 202  0.44355 0.00000  0.44004 0.00000
 203  0.44142 0.00000  0.44004 0.00000
 204  0.44439 0.00000  0.44011 0.00000
 205  0.44097 0.00000  0.44015 0.00000
 206  0.43699 0.00000  0.44007 0.00000
 207  0.43804 0.00000  0.44002 0.00000
 208  0.43333 0.00000  0.44003 0.00000
 209  0.43527 0.00000  0.44007 0.00000
 210  0.44164 0.00000  0.43997 0.00000
 211  0.44100 0.00000  0.43998 0.00000
 212  0.43315 0.00000  0.43993 0.00000
 213  0.44227 0.00000  0.43998 0.00000
 214  0.43646 0.00000  0.43997 0.00000
 215  0.43619 0.00000  0.43996 0.00000
 216  0.43945 0.00000  0.43998 0.00000
 217  0.43956 0.00000  0.44003 0.00000
 218  0.44254 0.00000  0.44009 0.00000
 219  0.44374 0.00000  0.44007 0.00000
 220  0.43758 0.00000  0.44013 0.00000
 221  0.44298 0.00000  0.44013 0.00000
 222  0.44032 0.00000  0.44006 0.00000
 223  0.43265 0.00000  0.44003 0.00000
 224  0.43858 0.00000  0.44009 0.00000
 225  0.43732 0.00000  0.44008 0.00000
 226  0.43844 0.00000  0.44009 0.00000
 227  0.44350 0.00000  0.44012 0.00000
 228  0.44493 0.00000  0.44016 0.00000
 229  0.43906 0.00000  0.44014 0.00000
 230  0.44119 0.00000  0.44011 0.00000
 231  0.44097 0.00000  0.44015 0.00000
 232  0.43967 0.00000  0.44017 0.00000
 233  0.44197 0.00000  0.44015 0.00000
 234  0.43833 0.00000  0.44013 0.00000
 235  0.44758 0.00000  0.44010 0.00000
 236  0.43540 0.00000  0.44014 0.00000
 237  0.44384 0.00000  0.44020 0.00000
 238  0.44519 0.00000  0.44030 0.00000
 239  0.43901 0.00000  0.44031 0.00000
 240  0.43863 0.00000  0.44024 0.00000
 241  0.43520 0.00000  0.44018 0.00000
 242  0.44347 0.00000  0.44017 0.00000
 243  0.44085 0.00000  0.44016 0.00000
 244  0.43987 0.00000  0.44007 0.00000
 245  0.43834 0.00000  0.44006 0.00000
 246  0.44129 0.00000  0.44007 0.00000
 247  0.43875 0.00000  0.44004 0.00000
 248  0.43751 0.00000  0.44005 0.00000
 249  0.44265 0.00000  0.44011 0.00000
 250  0.43729 0.00000  0.44009 0.00000
 251  0.43279 0.00000  0.44014 0.00000
 252  0.43344 0.00000  0.44013 0.00000
 253  0.44080 0.00000  0.44011 0.00000
 254  0.43589 0.00000  0.44012 0.00000
 255  0.44357 0.00000  0.44013 0.00000
 256  0.44130 0.00000  0.44014 0.00000
 257  0.43683 0.00000  0.44017 0.00000
 258  0.44272 0.00000  0.44008 0.00000
 259  0.44212 0.00000  0.44006 0.00000
 260  0.43781 0.00000  0.44009 0.00000
 261  0.43492 0.00000  0.44000 0.00000
 262  0.43524 0.00000  0.43999 0.00000
