loading data...Twoway_Layer::random_fill(): limit = 0.103695 ni = 93 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  1.03358 0.00000  0.99778 0.47926
   1  0.98348 0.00000  0.96878 0.33644
   2  0.96948 0.00000  0.95915 0.32994
   3  0.96229 0.00000  0.95508 0.32775
   4  0.95884 0.00000  0.95332 0.32649
   5  0.95535 0.00000  0.95221 0.32571
   6  0.95520 0.00000  0.95168 0.32527
   7  0.95734 0.00000  0.95135 0.32494
   8  0.95692 0.00000  0.95122 0.32460
   9  0.96033 0.00000  0.95115 0.32436
  10  0.95342 0.00000  0.95081 0.32398
  11  0.95673 0.00000  0.95066 0.32374
  12  0.95441 0.00000  0.95047 0.32358
  13  0.95540 0.00000  0.95035 0.32325
  14  0.95715 0.00000  0.95030 0.32318
  15  0.95597 0.00000  0.95019 0.32278
  16  0.95244 0.00000  0.94994 0.32259
  17  0.95485 0.00000  0.94986 0.32243
  18  0.95204 0.00000  0.94975 0.32228
  19  0.95692 0.00000  0.94973 0.32201
  20  0.95071 0.00000  0.94954 0.32192
  21  0.95564 0.00000  0.94950 0.32181
  22  0.95453 0.00000  0.94943 0.32160
  23  0.95187 0.00000  0.94931 0.32147
  24  0.95436 0.00000  0.94927 0.32119
  25  0.95605 0.00000  0.94924 0.32099
  26  0.95420 0.00000  0.94916 0.32082
  27  0.95423 0.00000  0.94909 0.32077
  28  0.95376 0.00000  0.94899 0.32053
  29  0.95455 0.00000  0.94897 0.32034
  30  0.95998 0.00000  0.94911 0.32011
  31  0.95099 0.00000  0.94889 0.32006
  32  0.95278 0.00000  0.94883 0.31992
  33  0.95628 0.00000  0.94881 0.31975
  34  0.95566 0.00000  0.94884 0.31959
  35  0.95127 0.00000  0.94870 0.31951
  36  0.94965 0.00000  0.94855 0.31942
  37  0.95127 0.00000  0.94848 0.31940
  38  0.95270 0.00000  0.94841 0.31917
  39  0.95008 0.00000  0.94833 0.31902
  40  0.95306 0.00000  0.94831 0.31901
  41  0.95260 0.00000  0.94827 0.31885
  42  0.94939 0.00000  0.94820 0.31868
  43  0.95340 0.00000  0.94821 0.31854
  44  0.95036 0.00000  0.94816 0.31848
  45  0.95551 0.00000  0.94821 0.31839
  46  0.95068 0.00000  0.94816 0.31836
  47  0.95162 0.00000  0.94813 0.31830
  48  0.95478 0.00000  0.94818 0.31823
  49  0.94919 0.00000  0.94806 0.31812
  50  0.95797 0.00000  0.94817 0.31803
  51  0.95123 0.00000  0.94815 0.31799
  52  0.95691 0.00000  0.94816 0.31781
  53  0.95181 0.00000  0.94809 0.31766
  54  0.95572 0.00000  0.94813 0.31754
  55  0.95374 0.00000  0.94812 0.31759
  56  0.94886 0.00000  0.94800 0.31750
  57  0.95240 0.00000  0.94799 0.31743
  58  0.95031 0.00000  0.94791 0.31737
  59  0.95004 0.00000  0.94783 0.31729
  60  0.94758 0.00000  0.94775 0.31722
  61  0.95305 0.00000  0.94779 0.31711
  62  0.94911 0.00000  0.94773 0.31707
  63  0.95036 0.00000  0.94772 0.31693
  64  0.95144 0.00000  0.94773 0.31684
  65  0.95296 0.00000  0.94774 0.31681
  66  0.95242 0.00000  0.94773 0.31673
  67  0.95482 0.00000  0.94777 0.31667
  68  0.95391 0.00000  0.94778 0.31660
  69  0.95225 0.00000  0.94778 0.31652
  70  0.94926 0.00000  0.94773 0.31655
  71  0.95349 0.00000  0.94774 0.31647
  72  0.94942 0.00000  0.94768 0.31645
  73  0.95370 0.00000  0.94771 0.31634
  74  0.95111 0.00000  0.94770 0.31632
  75  0.95663 0.00000  0.94777 0.31620
  76  0.95389 0.00000  0.94780 0.31616
  77  0.95159 0.00000  0.94781 0.31615
  78  0.94866 0.00000  0.94774 0.31617
  79  0.95374 0.00000  0.94779 0.31613
  80  0.94813 0.00000  0.94770 0.31602
  81  0.95509 0.00000  0.94776 0.31592
  82  0.95303 0.00000  0.94778 0.31585
  83  0.94928 0.00000  0.94773 0.31581
  84  0.94806 0.00000  0.94767 0.31581
  85  0.95210 0.00000  0.94769 0.31578
  86  0.94840 0.00000  0.94766 0.31573
  87  0.95074 0.00000  0.94766 0.31568
  88  0.95211 0.00000  0.94767 0.31565
  89  0.95011 0.00000  0.94767 0.31559
  90  0.94806 0.00000  0.94762 0.31557
  91  0.95444 0.00000  0.94767 0.31548
  92  0.95171 0.00000  0.94768 0.31542
  93  0.95262 0.00000  0.94772 0.31535
  94  0.95261 0.00000  0.94773 0.31530
  95  0.94943 0.00000  0.94770 0.31530
  96  0.95291 0.00000  0.94771 0.31524
  97  0.95279 0.00000  0.94774 0.31527
  98  0.95262 0.00000  0.94775 0.31520
  99  0.95067 0.00000  0.94774 0.31520
 100  0.95530 0.00000  0.94780 0.31515
 101  0.94412 0.00000  0.94771 0.31520
 102  0.95260 0.00000  0.94770 0.31509
 103  0.95220 0.00000  0.94773 0.31507
 104  0.95155 0.00000  0.94777 0.31504
 105  0.95084 0.00000  0.94776 0.31501
 106  0.94760 0.00000  0.94768 0.31499
 107  0.94779 0.00000  0.94762 0.31494
 108  0.94742 0.00000  0.94758 0.31489
 109  0.95014 0.00000  0.94758 0.31489
 110  0.95554 0.00000  0.94764 0.31482
 111  0.94908 0.00000  0.94762 0.31482
 112  0.95452 0.00000  0.94768 0.31479
 113  0.95186 0.00000  0.94769 0.31474
 114  0.95115 0.00000  0.94770 0.31473
 115  0.95054 0.00000  0.94769 0.31468
 116  0.94509 0.00000  0.94762 0.31466
 117  0.95200 0.00000  0.94765 0.31466
 118  0.94905 0.00000  0.94763 0.31465
 119  0.95332 0.00000  0.94768 0.31462
 120  0.94974 0.00000  0.94770 0.31460
 121  0.95345 0.00000  0.94775 0.31458
 122  0.94801 0.00000  0.94770 0.31456
 123  0.94452 0.00000  0.94763 0.31456
 124  0.94785 0.00000  0.94760 0.31456
 125  0.94788 0.00000  0.94764 0.31458
 126  0.94982 0.00000  0.94765 0.31455
 127  0.95193 0.00000  0.94762 0.31449
 128  0.95135 0.00000  0.94763 0.31444
 129  0.94991 0.00000  0.94762 0.31441
 130  0.95425 0.00000  0.94767 0.31432
 131  0.94937 0.00000  0.94765 0.31429
 132  0.95346 0.00000  0.94770 0.31427
 133  0.95038 0.00000  0.94771 0.31426
 134  0.94955 0.00000  0.94771 0.31422
 135  0.95165 0.00000  0.94772 0.31420
 136  0.95253 0.00000  0.94776 0.31417
 137  0.94982 0.00000  0.94776 0.31416
 138  0.94982 0.00000  0.94774 0.31417
 139  0.94482 0.00000  0.94767 0.31418
 140  0.95399 0.00000  0.94771 0.31415
 141  0.94860 0.00000  0.94772 0.31416
 142  0.95001 0.00000  0.94775 0.31416
 143  0.94642 0.00000  0.94772 0.31417
 144  0.95033 0.00000  0.94774 0.31416
 145  0.95311 0.00000  0.94775 0.31410
 146  0.95188 0.00000  0.94776 0.31407
 147  0.94889 0.00000  0.94775 0.31404
 148  0.95062 0.00000  0.94776 0.31403
 149  0.94439 0.00000  0.94771 0.31406
 150  0.95102 0.00000  0.94771 0.31405
 151  0.95359 0.00000  0.94777 0.31404
 152  0.95346 0.00000  0.94782 0.31402
 153  0.95031 0.00000  0.94780 0.31400
 154  0.95124 0.00000  0.94781 0.31400
 155  0.95049 0.00000  0.94782 0.31401
 156  0.94759 0.00000  0.94779 0.31400
 157  0.94772 0.00000  0.94776 0.31399
 158  0.95324 0.00000  0.94779 0.31396
 159  0.95434 0.00000  0.94786 0.31395
 160  0.94882 0.00000  0.94784 0.31395
 161  0.95108 0.00000  0.94784 0.31394
 162  0.95374 0.00000  0.94786 0.31394
