loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.66320 0.00000  0.51842 0.00000
   1  0.48338 0.00000  0.47054 0.00000
   2  0.46866 0.00000  0.46166 0.00000
   3  0.45049 0.00000  0.45882 0.00000
   4  0.45876 0.00000  0.45781 0.00000
   5  0.46455 0.00000  0.45699 0.00000
   6  0.46208 0.00000  0.45638 0.00000
   7  0.45819 0.00000  0.45588 0.00000
   8  0.45974 0.00000  0.45539 0.00000
   9  0.44974 0.00000  0.45491 0.00000
  10  0.45321 0.00000  0.45447 0.00000
  11  0.46306 0.00000  0.45408 0.00000
  12  0.45080 0.00000  0.45365 0.00000
  13  0.45235 0.00000  0.45330 0.00000
  14  0.45124 0.00000  0.45289 0.00000
  15  0.45528 0.00000  0.45252 0.00000
  16  0.45380 0.00000  0.45217 0.00000
  17  0.45667 0.00000  0.45182 0.00000
  18  0.45520 0.00000  0.45150 0.00000
  19  0.44753 0.00000  0.45123 0.00000
  20  0.45079 0.00000  0.45093 0.00000
  21  0.44590 0.00000  0.45065 0.00000
  22  0.44512 0.00000  0.45039 0.00000
  23  0.43864 0.00000  0.45012 0.00000
  24  0.44750 0.00000  0.44986 0.00000
  25  0.44760 0.00000  0.44963 0.00000
  26  0.45440 0.00000  0.44942 0.00000
  27  0.44538 0.00000  0.44921 0.00000
  28  0.43739 0.00000  0.44898 0.00000
  29  0.45283 0.00000  0.44877 0.00000
  30  0.44015 0.00000  0.44860 0.00000
  31  0.44980 0.00000  0.44836 0.00000
  32  0.44981 0.00000  0.44818 0.00000
  33  0.43786 0.00000  0.44798 0.00000
  34  0.44461 0.00000  0.44781 0.00000
  35  0.45269 0.00000  0.44767 0.00000
  36  0.44689 0.00000  0.44753 0.00000
  37  0.44621 0.00000  0.44741 0.00000
  38  0.44399 0.00000  0.44722 0.00000
  39  0.43998 0.00000  0.44708 0.00000
  40  0.44193 0.00000  0.44701 0.00000
  41  0.43285 0.00000  0.44689 0.00000
  42  0.45090 0.00000  0.44682 0.00000
  43  0.43558 0.00000  0.44666 0.00000
  44  0.45394 0.00000  0.44664 0.00000
  45  0.44209 0.00000  0.44644 0.00000
  46  0.44286 0.00000  0.44635 0.00000
  47  0.45277 0.00000  0.44628 0.00000
  48  0.43735 0.00000  0.44612 0.00000
  49  0.45572 0.00000  0.44602 0.00000
  50  0.45014 0.00000  0.44589 0.00000
  51  0.44184 0.00000  0.44586 0.00000
  52  0.44897 0.00000  0.44578 0.00000
  53  0.45386 0.00000  0.44582 0.00000
  54  0.42593 0.00000  0.44563 0.00000
  55  0.44921 0.00000  0.44553 0.00000
  56  0.45234 0.00000  0.44539 0.00000
  57  0.44587 0.00000  0.44535 0.00000
  58  0.45062 0.00000  0.44536 0.00000
  59  0.43932 0.00000  0.44527 0.00000
  60  0.43764 0.00000  0.44509 0.00000
  61  0.44056 0.00000  0.44500 0.00000
  62  0.45089 0.00000  0.44494 0.00000
  63  0.44020 0.00000  0.44481 0.00000
  64  0.44869 0.00000  0.44477 0.00000
  65  0.43962 0.00000  0.44479 0.00000
  66  0.45032 0.00000  0.44472 0.00000
  67  0.44348 0.00000  0.44458 0.00000
  68  0.43679 0.00000  0.44466 0.00000
  69  0.44653 0.00000  0.44468 0.00000
  70  0.44044 0.00000  0.44452 0.00000
  71  0.44526 0.00000  0.44455 0.00000
  72  0.44458 0.00000  0.44449 0.00000
  73  0.43502 0.00000  0.44440 0.00000
  74  0.43961 0.00000  0.44443 0.00000
  75  0.44373 0.00000  0.44438 0.00000
  76  0.45375 0.00000  0.44443 0.00000
  77  0.43549 0.00000  0.44435 0.00000
  78  0.44811 0.00000  0.44430 0.00000
  79  0.43991 0.00000  0.44424 0.00000
  80  0.44143 0.00000  0.44424 0.00000
  81  0.45621 0.00000  0.44432 0.00000
  82  0.44535 0.00000  0.44421 0.00000
  83  0.45254 0.00000  0.44421 0.00000
  84  0.44946 0.00000  0.44419 0.00000
  85  0.44161 0.00000  0.44402 0.00000
  86  0.43561 0.00000  0.44402 0.00000
  87  0.43747 0.00000  0.44402 0.00000
  88  0.45163 0.00000  0.44411 0.00000
  89  0.45477 0.00000  0.44408 0.00000
  90  0.44501 0.00000  0.44408 0.00000
  91  0.44317 0.00000  0.44395 0.00000
  92  0.43500 0.00000  0.44394 0.00000
  93  0.43985 0.00000  0.44393 0.00000
  94  0.42693 0.00000  0.44393 0.00000
  95  0.45535 0.00000  0.44393 0.00000
  96  0.45028 0.00000  0.44390 0.00000
  97  0.44354 0.00000  0.44384 0.00000
  98  0.45308 0.00000  0.44383 0.00000
  99  0.43568 0.00000  0.44379 0.00000
 100  0.44926 0.00000  0.44375 0.00000
 101  0.44821 0.00000  0.44384 0.00000
 102  0.44200 0.00000  0.44380 0.00000
 103  0.44755 0.00000  0.44382 0.00000
 104  0.44195 0.00000  0.44386 0.00000
 105  0.44311 0.00000  0.44383 0.00000
 106  0.44807 0.00000  0.44392 0.00000
 107  0.43836 0.00000  0.44396 0.00000
 108  0.44670 0.00000  0.44404 0.00000
 109  0.44001 0.00000  0.44398 0.00000
 110  0.44016 0.00000  0.44402 0.00000
 111  0.44228 0.00000  0.44395 0.00000
 112  0.44224 0.00000  0.44381 0.00000
 113  0.44532 0.00000  0.44377 0.00000
 114  0.43633 0.00000  0.44379 0.00000
 115  0.43575 0.00000  0.44386 0.00000
 116  0.44338 0.00000  0.44395 0.00000
 117  0.44226 0.00000  0.44386 0.00000
 118  0.44569 0.00000  0.44392 0.00000
 119  0.44086 0.00000  0.44402 0.00000
 120  0.44440 0.00000  0.44404 0.00000
 121  0.43286 0.00000  0.44393 0.00000
 122  0.44412 0.00000  0.44392 0.00000
 123  0.43252 0.00000  0.44378 0.00000
 124  0.43971 0.00000  0.44374 0.00000
 125  0.45041 0.00000  0.44390 0.00000
 126  0.44547 0.00000  0.44389 0.00000
 127  0.44206 0.00000  0.44405 0.00000
 128  0.44561 0.00000  0.44403 0.00000
 129  0.43524 0.00000  0.44406 0.00000
 130  0.44808 0.00000  0.44408 0.00000
 131  0.44442 0.00000  0.44409 0.00000
 132  0.44257 0.00000  0.44423 0.00000
 133  0.44462 0.00000  0.44427 0.00000
 134  0.44696 0.00000  0.44412 0.00000
 135  0.44336 0.00000  0.44397 0.00000
 136  0.44686 0.00000  0.44413 0.00000
 137  0.44007 0.00000  0.44411 0.00000
 138  0.44118 0.00000  0.44402 0.00000
 139  0.43898 0.00000  0.44389 0.00000
 140  0.44105 0.00000  0.44404 0.00000
 141  0.43723 0.00000  0.44399 0.00000
 142  0.44766 0.00000  0.44400 0.00000
 143  0.43866 0.00000  0.44402 0.00000
 144  0.43762 0.00000  0.44395 0.00000
 145  0.43544 0.00000  0.44391 0.00000
 146  0.44460 0.00000  0.44393 0.00000
 147  0.45308 0.00000  0.44390 0.00000
 148  0.44739 0.00000  0.44385 0.00000
 149  0.44531 0.00000  0.44382 0.00000
