loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.48532 0.00000  0.47500 0.00000
   1  0.46388 0.00000  0.45981 0.00000
   2  0.45200 0.00000  0.45338 0.00000
   3  0.44548 0.00000  0.45015 0.00000
   4  0.43904 0.00000  0.44846 0.00000
   5  0.44223 0.00000  0.44750 0.00000
   6  0.44331 0.00000  0.44693 0.00000
   7  0.44010 0.00000  0.44653 0.00000
   8  0.44142 0.00000  0.44626 0.00000
   9  0.44352 0.00000  0.44608 0.00000
  10  0.43805 0.00000  0.44584 0.00000
  11  0.44533 0.00000  0.44575 0.00000
  12  0.44000 0.00000  0.44559 0.00000
  13  0.44136 0.00000  0.44546 0.00000
  14  0.44397 0.00000  0.44533 0.00000
  15  0.44178 0.00000  0.44524 0.00000
  16  0.43883 0.00000  0.44515 0.00000
  17  0.43958 0.00000  0.44503 0.00000
  18  0.44161 0.00000  0.44498 0.00000
  19  0.43794 0.00000  0.44489 0.00000
  20  0.44172 0.00000  0.44479 0.00000
  21  0.44123 0.00000  0.44471 0.00000
  22  0.44066 0.00000  0.44464 0.00000
  23  0.43944 0.00000  0.44457 0.00000
  24  0.43705 0.00000  0.44446 0.00000
  25  0.43859 0.00000  0.44434 0.00000
  26  0.43683 0.00000  0.44431 0.00000
  27  0.43929 0.00000  0.44422 0.00000
  28  0.43941 0.00000  0.44418 0.00000
  29  0.44033 0.00000  0.44413 0.00000
  30  0.43917 0.00000  0.44407 0.00000
  31  0.43959 0.00000  0.44404 0.00000
  32  0.43787 0.00000  0.44399 0.00000
  33  0.43966 0.00000  0.44394 0.00000
  34  0.44299 0.00000  0.44396 0.00000
  35  0.44096 0.00000  0.44392 0.00000
  36  0.43445 0.00000  0.44385 0.00000
  37  0.43645 0.00000  0.44379 0.00000
  38  0.43909 0.00000  0.44377 0.00000
  39  0.43781 0.00000  0.44373 0.00000
  40  0.44085 0.00000  0.44371 0.00000
  41  0.43894 0.00000  0.44367 0.00000
  42  0.43901 0.00000  0.44361 0.00000
  43  0.44211 0.00000  0.44357 0.00000
  44  0.43753 0.00000  0.44352 0.00000
  45  0.43819 0.00000  0.44353 0.00000
  46  0.43989 0.00000  0.44351 0.00000
  47  0.44015 0.00000  0.44354 0.00000
  48  0.43970 0.00000  0.44351 0.00000
  49  0.44105 0.00000  0.44347 0.00000
  50  0.43667 0.00000  0.44343 0.00000
  51  0.43997 0.00000  0.44341 0.00000
  52  0.43965 0.00000  0.44339 0.00000
  53  0.43897 0.00000  0.44340 0.00000
  54  0.43818 0.00000  0.44340 0.00000
  55  0.43906 0.00000  0.44339 0.00000
  56  0.43895 0.00000  0.44337 0.00000
  57  0.43901 0.00000  0.44333 0.00000
  58  0.43904 0.00000  0.44334 0.00000
  59  0.43853 0.00000  0.44334 0.00000
  60  0.43868 0.00000  0.44337 0.00000
  61  0.43921 0.00000  0.44334 0.00000
  62  0.43908 0.00000  0.44332 0.00000
  63  0.44052 0.00000  0.44338 0.00000
  64  0.43877 0.00000  0.44341 0.00000
  65  0.43721 0.00000  0.44343 0.00000
  66  0.43582 0.00000  0.44344 0.00000
  67  0.43710 0.00000  0.44346 0.00000
  68  0.43847 0.00000  0.44349 0.00000
  69  0.44286 0.00000  0.44354 0.00000
  70  0.43867 0.00000  0.44355 0.00000
  71  0.43726 0.00000  0.44358 0.00000
  72  0.43641 0.00000  0.44363 0.00000
  73  0.43976 0.00000  0.44365 0.00000
  74  0.43959 0.00000  0.44368 0.00000
  75  0.44006 0.00000  0.44371 0.00000
  76  0.43810 0.00000  0.44373 0.00000
  77  0.44316 0.00000  0.44371 0.00000
  78  0.43798 0.00000  0.44368 0.00000
  79  0.43919 0.00000  0.44365 0.00000
  80  0.44081 0.00000  0.44365 0.00000
  81  0.44184 0.00000  0.44372 0.00000
  82  0.43984 0.00000  0.44371 0.00000
  83  0.43713 0.00000  0.44373 0.00000
  84  0.43588 0.00000  0.44373 0.00000
  85  0.44057 0.00000  0.44371 0.00000
  86  0.43665 0.00000  0.44370 0.00000
  87  0.43675 0.00000  0.44368 0.00000
  88  0.43907 0.00000  0.44370 0.00000
  89  0.43722 0.00000  0.44373 0.00000
  90  0.43733 0.00000  0.44376 0.00000
  91  0.43761 0.00000  0.44375 0.00000
  92  0.44030 0.00000  0.44380 0.00000
  93  0.43722 0.00000  0.44382 0.00000
  94  0.44143 0.00000  0.44386 0.00000
  95  0.43972 0.00000  0.44390 0.00000
  96  0.44053 0.00000  0.44394 0.00000
  97  0.43641 0.00000  0.44392 0.00000
  98  0.43654 0.00000  0.44397 0.00000
  99  0.43726 0.00000  0.44401 0.00000
 100  0.43728 0.00000  0.44400 0.00000
 101  0.44084 0.00000  0.44405 0.00000
 102  0.44009 0.00000  0.44409 0.00000
 103  0.44076 0.00000  0.44412 0.00000
 104  0.44410 0.00000  0.44421 0.00000
 105  0.43826 0.00000  0.44419 0.00000
 106  0.43854 0.00000  0.44425 0.00000
 107  0.43571 0.00000  0.44422 0.00000
 108  0.43811 0.00000  0.44426 0.00000
 109  0.44246 0.00000  0.44430 0.00000
 110  0.44284 0.00000  0.44429 0.00000
 111  0.43815 0.00000  0.44431 0.00000
 112  0.43954 0.00000  0.44431 0.00000
 113  0.43973 0.00000  0.44435 0.00000
 114  0.44211 0.00000  0.44439 0.00000
 115  0.44116 0.00000  0.44447 0.00000
 116  0.44211 0.00000  0.44455 0.00000
 117  0.43886 0.00000  0.44459 0.00000
 118  0.43897 0.00000  0.44456 0.00000
 119  0.43891 0.00000  0.44459 0.00000
 120  0.43854 0.00000  0.44459 0.00000
 121  0.43849 0.00000  0.44461 0.00000
 122  0.43621 0.00000  0.44461 0.00000
 123  0.44091 0.00000  0.44462 0.00000
 124  0.44239 0.00000  0.44465 0.00000
 125  0.44133 0.00000  0.44468 0.00000
 126  0.44014 0.00000  0.44472 0.00000
 127  0.44646 0.00000  0.44477 0.00000
 128  0.43772 0.00000  0.44476 0.00000
 129  0.44099 0.00000  0.44479 0.00000
 130  0.44200 0.00000  0.44479 0.00000
 131  0.43736 0.00000  0.44481 0.00000
 132  0.43926 0.00000  0.44488 0.00000
 133  0.44123 0.00000  0.44490 0.00000
 134  0.44404 0.00000  0.44493 0.00000
 135  0.43813 0.00000  0.44500 0.00000
 136  0.44022 0.00000  0.44495 0.00000
 137  0.44193 0.00000  0.44498 0.00000
 138  0.44160 0.00000  0.44507 0.00000
 139  0.44163 0.00000  0.44511 0.00000
