loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.69457 0.00000  0.51048 0.00000
   1  0.48185 0.00000  0.47310 0.00000
   2  0.47450 0.00000  0.46732 0.00000
   3  0.45589 0.00000  0.46479 0.00000
   4  0.46418 0.00000  0.46331 0.00000
   5  0.46918 0.00000  0.46216 0.00000
   6  0.46912 0.00000  0.46122 0.00000
   7  0.46378 0.00000  0.46043 0.00000
   8  0.46402 0.00000  0.45978 0.00000
   9  0.45459 0.00000  0.45910 0.00000
  10  0.45793 0.00000  0.45851 0.00000
  11  0.46781 0.00000  0.45798 0.00000
  12  0.45454 0.00000  0.45747 0.00000
  13  0.45659 0.00000  0.45708 0.00000
  14  0.45557 0.00000  0.45647 0.00000
  15  0.45799 0.00000  0.45605 0.00000
  16  0.45756 0.00000  0.45563 0.00000
  17  0.46031 0.00000  0.45519 0.00000
  18  0.45850 0.00000  0.45480 0.00000
  19  0.45129 0.00000  0.45445 0.00000
  20  0.45453 0.00000  0.45406 0.00000
  21  0.44933 0.00000  0.45371 0.00000
  22  0.44777 0.00000  0.45339 0.00000
  23  0.44218 0.00000  0.45307 0.00000
  24  0.45068 0.00000  0.45273 0.00000
  25  0.45074 0.00000  0.45243 0.00000
  26  0.45585 0.00000  0.45217 0.00000
  27  0.44794 0.00000  0.45188 0.00000
  28  0.43992 0.00000  0.45160 0.00000
  29  0.45611 0.00000  0.45133 0.00000
  30  0.44338 0.00000  0.45110 0.00000
  31  0.45253 0.00000  0.45081 0.00000
  32  0.45261 0.00000  0.45059 0.00000
  33  0.44105 0.00000  0.45034 0.00000
  34  0.44763 0.00000  0.45014 0.00000
  35  0.45506 0.00000  0.44990 0.00000
  36  0.44919 0.00000  0.44971 0.00000
  37  0.44835 0.00000  0.44954 0.00000
  38  0.44719 0.00000  0.44931 0.00000
  39  0.44293 0.00000  0.44911 0.00000
  40  0.44290 0.00000  0.44901 0.00000
  41  0.43440 0.00000  0.44880 0.00000
  42  0.45257 0.00000  0.44870 0.00000
  43  0.43753 0.00000  0.44850 0.00000
  44  0.45496 0.00000  0.44844 0.00000
  45  0.44389 0.00000  0.44817 0.00000
  46  0.44467 0.00000  0.44805 0.00000
  47  0.45528 0.00000  0.44791 0.00000
  48  0.43887 0.00000  0.44771 0.00000
  49  0.45778 0.00000  0.44758 0.00000
  50  0.45057 0.00000  0.44741 0.00000
  51  0.44415 0.00000  0.44735 0.00000
  52  0.45033 0.00000  0.44723 0.00000
  53  0.45541 0.00000  0.44726 0.00000
  54  0.42733 0.00000  0.44699 0.00000
  55  0.45024 0.00000  0.44687 0.00000
  56  0.45359 0.00000  0.44670 0.00000
  57  0.44731 0.00000  0.44663 0.00000
  58  0.45186 0.00000  0.44660 0.00000
  59  0.44022 0.00000  0.44648 0.00000
  60  0.43890 0.00000  0.44630 0.00000
  61  0.44181 0.00000  0.44618 0.00000
  62  0.45219 0.00000  0.44610 0.00000
  63  0.44103 0.00000  0.44595 0.00000
  64  0.45021 0.00000  0.44587 0.00000
  65  0.44057 0.00000  0.44586 0.00000
  66  0.45119 0.00000  0.44577 0.00000
  67  0.44474 0.00000  0.44561 0.00000
  68  0.43811 0.00000  0.44564 0.00000
  69  0.44747 0.00000  0.44562 0.00000
  70  0.44138 0.00000  0.44544 0.00000
  71  0.44578 0.00000  0.44543 0.00000
  72  0.44531 0.00000  0.44534 0.00000
  73  0.43558 0.00000  0.44522 0.00000
  74  0.44015 0.00000  0.44521 0.00000
  75  0.44440 0.00000  0.44513 0.00000
  76  0.45478 0.00000  0.44515 0.00000
  77  0.43569 0.00000  0.44504 0.00000
  78  0.44867 0.00000  0.44497 0.00000
  79  0.44068 0.00000  0.44488 0.00000
  80  0.44178 0.00000  0.44485 0.00000
  81  0.45681 0.00000  0.44492 0.00000
  82  0.44581 0.00000  0.44478 0.00000
  83  0.45256 0.00000  0.44475 0.00000
  84  0.44956 0.00000  0.44472 0.00000
  85  0.44154 0.00000  0.44456 0.00000
  86  0.43609 0.00000  0.44453 0.00000
  87  0.43752 0.00000  0.44451 0.00000
  88  0.45238 0.00000  0.44458 0.00000
