loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.47169 0.00000  0.46260 0.00000
   1  0.45548 0.00000  0.45442 0.00000
   2  0.44972 0.00000  0.45228 0.00000
   3  0.44591 0.00000  0.45127 0.00000
   4  0.44103 0.00000  0.45066 0.00000
   5  0.44499 0.00000  0.45023 0.00000
   6  0.44641 0.00000  0.44988 0.00000
   7  0.44317 0.00000  0.44955 0.00000
   8  0.44463 0.00000  0.44928 0.00000
   9  0.44679 0.00000  0.44903 0.00000
  10  0.44123 0.00000  0.44872 0.00000
  11  0.44848 0.00000  0.44854 0.00000
  12  0.44286 0.00000  0.44828 0.00000
  13  0.44392 0.00000  0.44803 0.00000
  14  0.44673 0.00000  0.44780 0.00000
  15  0.44412 0.00000  0.44761 0.00000
  16  0.44120 0.00000  0.44742 0.00000
  17  0.44183 0.00000  0.44719 0.00000
  18  0.44388 0.00000  0.44705 0.00000
  19  0.44033 0.00000  0.44686 0.00000
  20  0.44383 0.00000  0.44668 0.00000
  21  0.44327 0.00000  0.44652 0.00000
  22  0.44275 0.00000  0.44636 0.00000
  23  0.44129 0.00000  0.44621 0.00000
  24  0.43870 0.00000  0.44602 0.00000
  25  0.44013 0.00000  0.44583 0.00000
  26  0.43851 0.00000  0.44573 0.00000
  27  0.44092 0.00000  0.44558 0.00000
  28  0.44090 0.00000  0.44547 0.00000
  29  0.44181 0.00000  0.44536 0.00000
  30  0.44047 0.00000  0.44524 0.00000
  31  0.44104 0.00000  0.44514 0.00000
  32  0.43922 0.00000  0.44502 0.00000
  33  0.44092 0.00000  0.44491 0.00000
  34  0.44429 0.00000  0.44486 0.00000
  35  0.44205 0.00000  0.44476 0.00000
  36  0.43537 0.00000  0.44462 0.00000
  37  0.43732 0.00000  0.44450 0.00000
  38  0.44009 0.00000  0.44443 0.00000
  39  0.43872 0.00000  0.44433 0.00000
  40  0.44155 0.00000  0.44426 0.00000
  41  0.43968 0.00000  0.44417 0.00000
  42  0.43952 0.00000  0.44406 0.00000
  43  0.44277 0.00000  0.44398 0.00000
  44  0.43799 0.00000  0.44389 0.00000
  45  0.43873 0.00000  0.44386 0.00000
  46  0.44047 0.00000  0.44379 0.00000
  47  0.44073 0.00000  0.44378 0.00000
  48  0.44009 0.00000  0.44371 0.00000
  49  0.44135 0.00000  0.44362 0.00000
  50  0.43689 0.00000  0.44354 0.00000
  51  0.44036 0.00000  0.44348 0.00000
  52  0.43979 0.00000  0.44342 0.00000
  53  0.43922 0.00000  0.44340 0.00000
  54  0.43836 0.00000  0.44336 0.00000
  55  0.43917 0.00000  0.44332 0.00000
  56  0.43890 0.00000  0.44326 0.00000
  57  0.43910 0.00000  0.44319 0.00000
  58  0.43915 0.00000  0.44317 0.00000
  59  0.43834 0.00000  0.44314 0.00000
  60  0.43874 0.00000  0.44313 0.00000
  61  0.43913 0.00000  0.44308 0.00000
  62  0.43886 0.00000  0.44302 0.00000
  63  0.44056 0.00000  0.44306 0.00000
  64  0.43880 0.00000  0.44306 0.00000
  65  0.43702 0.00000  0.44304 0.00000
  66  0.43554 0.00000  0.44302 0.00000
  67  0.43688 0.00000  0.44302 0.00000
  68  0.43831 0.00000  0.44302 0.00000
  69  0.44265 0.00000  0.44304 0.00000
  70  0.43837 0.00000  0.44302 0.00000
  71  0.43703 0.00000  0.44302 0.00000
  72  0.43620 0.00000  0.44305 0.00000
  73  0.43953 0.00000  0.44304 0.00000
  74  0.43914 0.00000  0.44304 0.00000
  75  0.43965 0.00000  0.44305 0.00000
  76  0.43772 0.00000  0.44305 0.00000
  77  0.44263 0.00000  0.44300 0.00000
  78  0.43741 0.00000  0.44295 0.00000
  79  0.43861 0.00000  0.44289 0.00000
  80  0.44022 0.00000  0.44288 0.00000
  81  0.44135 0.00000  0.44293 0.00000
  82  0.43931 0.00000  0.44291 0.00000
  83  0.43656 0.00000  0.44291 0.00000
  84  0.43520 0.00000  0.44289 0.00000
  85  0.43985 0.00000  0.44286 0.00000
  86  0.43601 0.00000  0.44284 0.00000
  87  0.43605 0.00000  0.44281 0.00000
  88  0.43837 0.00000  0.44282 0.00000
  89  0.43658 0.00000  0.44284 0.00000
  90  0.43661 0.00000  0.44286 0.00000
  91  0.43685 0.00000  0.44284 0.00000
  92  0.43960 0.00000  0.44287 0.00000
  93  0.43648 0.00000  0.44289 0.00000
  94  0.44073 0.00000  0.44292 0.00000
  95  0.43903 0.00000  0.44296 0.00000
  96  0.43982 0.00000  0.44299 0.00000
  97  0.43553 0.00000  0.44296 0.00000
  98  0.43577 0.00000  0.44300 0.00000
  99  0.43648 0.00000  0.44304 0.00000
 100  0.43640 0.00000  0.44302 0.00000
 101  0.44016 0.00000  0.44307 0.00000
 102  0.43935 0.00000  0.44310 0.00000
 103  0.44003 0.00000  0.44313 0.00000
 104  0.44341 0.00000  0.44321 0.00000
 105  0.43738 0.00000  0.44319 0.00000
 106  0.43779 0.00000  0.44324 0.00000
 107  0.43482 0.00000  0.44321 0.00000
 108  0.43727 0.00000  0.44324 0.00000
 109  0.44163 0.00000  0.44327 0.00000
 110  0.44192 0.00000  0.44326 0.00000
 111  0.43727 0.00000  0.44329 0.00000
 112  0.43865 0.00000  0.44328 0.00000
 113  0.43897 0.00000  0.44333 0.00000
 114  0.44130 0.00000  0.44337 0.00000
 115  0.44046 0.00000  0.44345 0.00000
 116  0.44135 0.00000  0.44353 0.00000
 117  0.43803 0.00000  0.44357 0.00000
 118  0.43808 0.00000  0.44354 0.00000
 119  0.43807 0.00000  0.44356 0.00000
 120  0.43770 0.00000  0.44357 0.00000
 121  0.43757 0.00000  0.44359 0.00000
 122  0.43532 0.00000  0.44360 0.00000
 123  0.44002 0.00000  0.44361 0.00000
 124  0.44156 0.00000  0.44364 0.00000
 125  0.44047 0.00000  0.44367 0.00000
 126  0.43927 0.00000  0.44372 0.00000
