loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  1.07919 0.00000  0.89986 0.20879
   1  0.86452 0.00000  0.86681 0.19371
   2  0.87045 0.00000  0.85804 0.19098
   3  0.85221 0.00000  0.85283 0.18956
   4  0.82659 0.00000  0.84936 0.18777
   5  0.84673 0.00000  0.84652 0.18717
   6  0.81898 0.00000  0.84447 0.18605
   7  0.84646 0.00000  0.84235 0.18582
   8  0.83867 0.00000  0.84113 0.18535
   9  0.84012 0.00000  0.84003 0.18495
  10  0.82178 0.00000  0.83939 0.18440
  11  0.81588 0.00000  0.83910 0.18388
  12  0.81049 0.00000  0.83863 0.18361
  13  0.82744 0.00000  0.83755 0.18344
  14  0.83629 0.00000  0.83696 0.18323
  15  0.82537 0.00000  0.83642 0.18289
  16  0.82173 0.00000  0.83630 0.18265
  17  0.81784 0.00000  0.83568 0.18244
  18  0.81653 0.00000  0.83565 0.18221
  19  0.82267 0.00000  0.83518 0.18208
  20  0.83231 0.00000  0.83459 0.18192
  21  0.82478 0.00000  0.83438 0.18176
  22  0.82954 0.00000  0.83398 0.18166
  23  0.80874 0.00000  0.83384 0.18147
  24  0.82660 0.00000  0.83345 0.18137
  25  0.82011 0.00000  0.83335 0.18123
  26  0.79924 0.00000  0.83338 0.18107
  27  0.80955 0.00000  0.83317 0.18098
  28  0.83435 0.00000  0.83268 0.18090
  29  0.80986 0.00000  0.83269 0.18077
  30  0.80360 0.00000  0.83276 0.18069
  31  0.82807 0.00000  0.83215 0.18062
  32  0.83039 0.00000  0.83187 0.18052
  33  0.82169 0.00000  0.83182 0.18048
  34  0.83349 0.00000  0.83162 0.18038
  35  0.83636 0.00000  0.83147 0.18032
  36  0.81242 0.00000  0.83154 0.18025
  37  0.81892 0.00000  0.83133 0.18019
  38  0.79995 0.00000  0.83133 0.18015
  39  0.80717 0.00000  0.83127 0.18009
  40  0.82044 0.00000  0.83110 0.18002
  41  0.80918 0.00000  0.83105 0.17997
  42  0.80904 0.00000  0.83100 0.17993
  43  0.81507 0.00000  0.83079 0.17987
  44  0.82458 0.00000  0.83063 0.17982
  45  0.82299 0.00000  0.83039 0.17978
  46  0.82733 0.00000  0.83023 0.17973
  47  0.83258 0.00000  0.83016 0.17969
  48  0.82060 0.00000  0.83017 0.17967
  49  0.82272 0.00000  0.82994 0.17963
  50  0.80302 0.00000  0.82996 0.17963
  51  0.81430 0.00000  0.83001 0.17959
  52  0.81743 0.00000  0.82999 0.17956
  53  0.82027 0.00000  0.82987 0.17954
  54  0.82296 0.00000  0.82990 0.17951
  55  0.80996 0.00000  0.82973 0.17948
  56  0.81205 0.00000  0.82964 0.17945
  57  0.80636 0.00000  0.82969 0.17943
  58  0.83136 0.00000  0.82943 0.17937
  59  0.81854 0.00000  0.82942 0.17936
  60  0.82261 0.00000  0.82944 0.17933
  61  0.80807 0.00000  0.82956 0.17935
  62  0.80321 0.00000  0.82948 0.17934
  63  0.81575 0.00000  0.82931 0.17932
  64  0.80840 0.00000  0.82933 0.17933
  65  0.82624 0.00000  0.82921 0.17930
  66  0.82540 0.00000  0.82925 0.17928
  67  0.80678 0.00000  0.82908 0.17926
