loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
   0  0.52761 0.00000  0.48597 0.00000
   1  0.46792 0.00000  0.46556 0.00000
   2  0.45834 0.00000  0.46048 0.00000
   3  0.46165 0.00000  0.45832 0.00000
   4  0.45272 0.00000  0.45668 0.00000
   5  0.45338 0.00000  0.45568 0.00000
   6  0.45924 0.00000  0.45498 0.00000
   7  0.45171 0.00000  0.45435 0.00000
   8  0.44695 0.00000  0.45380 0.00000
   9  0.44687 0.00000  0.45338 0.00000
  10  0.44721 0.00000  0.45292 0.00000
  11  0.44901 0.00000  0.45252 0.00000
  12  0.45646 0.00000  0.45224 0.00000
  13  0.45042 0.00000  0.45186 0.00000
  14  0.45803 0.00000  0.45156 0.00000
  15  0.45024 0.00000  0.45128 0.00000
  16  0.44954 0.00000  0.45105 0.00000
  17  0.44508 0.00000  0.45075 0.00000
  18  0.44099 0.00000  0.45050 0.00000
  19  0.44879 0.00000  0.45022 0.00000
  20  0.44287 0.00000  0.44998 0.00000
  21  0.44810 0.00000  0.44979 0.00000
  22  0.44926 0.00000  0.44955 0.00000
  23  0.45129 0.00000  0.44938 0.00000
  24  0.45255 0.00000  0.44917 0.00000
  25  0.44774 0.00000  0.44900 0.00000
  26  0.44495 0.00000  0.44878 0.00000
  27  0.44127 0.00000  0.44859 0.00000
  28  0.44511 0.00000  0.44841 0.00000
  29  0.45091 0.00000  0.44826 0.00000
  30  0.44415 0.00000  0.44812 0.00000
  31  0.45022 0.00000  0.44795 0.00000
  32  0.45362 0.00000  0.44777 0.00000
  33  0.44180 0.00000  0.44759 0.00000
  34  0.44218 0.00000  0.44743 0.00000
  35  0.44437 0.00000  0.44735 0.00000
  36  0.45191 0.00000  0.44725 0.00000
  37  0.44548 0.00000  0.44712 0.00000
  38  0.44118 0.00000  0.44698 0.00000
  39  0.44657 0.00000  0.44689 0.00000
  40  0.44308 0.00000  0.44672 0.00000
  41  0.44516 0.00000  0.44656 0.00000
  42  0.44621 0.00000  0.44644 0.00000
  43  0.44484 0.00000  0.44638 0.00000
  44  0.44405 0.00000  0.44626 0.00000
  45  0.44002 0.00000  0.44619 0.00000
  46  0.43815 0.00000  0.44604 0.00000
  47  0.44203 0.00000  0.44595 0.00000
  48  0.43675 0.00000  0.44583 0.00000
  49  0.44650 0.00000  0.44578 0.00000
  50  0.44022 0.00000  0.44564 0.00000
  51  0.44385 0.00000  0.44558 0.00000
  52  0.44417 0.00000  0.44557 0.00000
  53  0.44026 0.00000  0.44551 0.00000
  54  0.44233 0.00000  0.44542 0.00000
  55  0.44053 0.00000  0.44536 0.00000
  56  0.44812 0.00000  0.44527 0.00000
  57  0.44281 0.00000  0.44522 0.00000
  58  0.44452 0.00000  0.44516 0.00000
  59  0.44567 0.00000  0.44508 0.00000
  60  0.44003 0.00000  0.44499 0.00000
  61  0.44575 0.00000  0.44491 0.00000
  62  0.44418 0.00000  0.44486 0.00000
  63  0.44332 0.00000  0.44487 0.00000
  64  0.44586 0.00000  0.44484 0.00000
  65  0.44125 0.00000  0.44479 0.00000
  66  0.44663 0.00000  0.44475 0.00000
  67  0.44921 0.00000  0.44470 0.00000
  68  0.44389 0.00000  0.44468 0.00000
  69  0.44130 0.00000  0.44467 0.00000
  70  0.44261 0.00000  0.44457 0.00000
  71  0.45056 0.00000  0.44453 0.00000
  72  0.44454 0.00000  0.44449 0.00000
  73  0.43550 0.00000  0.44446 0.00000
  74  0.43865 0.00000  0.44440 0.00000
  75  0.44189 0.00000  0.44431 0.00000
  76  0.44064 0.00000  0.44431 0.00000
  77  0.43625 0.00000  0.44424 0.00000
  78  0.44369 0.00000  0.44418 0.00000
  79  0.44130 0.00000  0.44418 0.00000
  80  0.44547 0.00000  0.44419 0.00000
  81  0.43846 0.00000  0.44415 0.00000
  82  0.44741 0.00000  0.44418 0.00000
  83  0.44625 0.00000  0.44423 0.00000
  84  0.44242 0.00000  0.44424 0.00000
  85  0.43955 0.00000  0.44421 0.00000
  86  0.43854 0.00000  0.44416 0.00000
  87  0.43840 0.00000  0.44417 0.00000
  88  0.43757 0.00000  0.44416 0.00000
  89  0.43904 0.00000  0.44410 0.00000
  90  0.43818 0.00000  0.44403 0.00000
  91  0.44187 0.00000  0.44404 0.00000
  92  0.43868 0.00000  0.44410 0.00000
  93  0.43852 0.00000  0.44405 0.00000
  94  0.44432 0.00000  0.44404 0.00000
  95  0.44555 0.00000  0.44413 0.00000
  96  0.43708 0.00000  0.44405 0.00000
  97  0.45038 0.00000  0.44404 0.00000
  98  0.44371 0.00000  0.44413 0.00000
  99  0.44120 0.00000  0.44408 0.00000
 100  0.44680 0.00000  0.44409 0.00000
 101  0.44237 0.00000  0.44414 0.00000
 102  0.44421 0.00000  0.44412 0.00000
 103  0.43834 0.00000  0.44404 0.00000
 104  0.43861 0.00000  0.44403 0.00000
 105  0.43971 0.00000  0.44404 0.00000
 106  0.44073 0.00000  0.44399 0.00000
 107  0.43906 0.00000  0.44404 0.00000
 108  0.44169 0.00000  0.44398 0.00000
 109  0.44522 0.00000  0.44405 0.00000
 110  0.44494 0.00000  0.44411 0.00000
 111  0.43738 0.00000  0.44414 0.00000
 112  0.44069 0.00000  0.44424 0.00000
 113  0.44212 0.00000  0.44423 0.00000
 114  0.44452 0.00000  0.44424 0.00000
 115  0.43707 0.00000  0.44418 0.00000
 116  0.44108 0.00000  0.44419 0.00000
 117  0.43979 0.00000  0.44420 0.00000
 118  0.43723 0.00000  0.44423 0.00000
 119  0.43893 0.00000  0.44420 0.00000
 120  0.44071 0.00000  0.44419 0.00000
 121  0.43830 0.00000  0.44419 0.00000
 122  0.45040 0.00000  0.44421 0.00000
 123  0.44463 0.00000  0.44423 0.00000
 124  0.44554 0.00000  0.44430 0.00000
 125  0.44549 0.00000  0.44435 0.00000
 126  0.44457 0.00000  0.44435 0.00000
 127  0.44683 0.00000  0.44436 0.00000
 128  0.44744 0.00000  0.44440 0.00000
 129  0.43709 0.00000  0.44430 0.00000
 130  0.44312 0.00000  0.44433 0.00000
 131  0.44131 0.00000  0.44433 0.00000
 132  0.44222 0.00000  0.44437 0.00000
 133  0.44447 0.00000  0.44435 0.00000
 134  0.44604 0.00000  0.44438 0.00000
 135  0.44759 0.00000  0.44450 0.00000
 136  0.44320 0.00000  0.44448 0.00000
 137  0.44499 0.00000  0.44448 0.00000
 138  0.44614 0.00000  0.44446 0.00000
 139  0.44222 0.00000  0.44441 0.00000
 140  0.44309 0.00000  0.44443 0.00000
 141  0.44334 0.00000  0.44443 0.00000
 142  0.44512 0.00000  0.44450 0.00000
 143  0.43881 0.00000  0.44449 0.00000
 144  0.44361 0.00000  0.44455 0.00000
 145  0.44144 0.00000  0.44459 0.00000
 146  0.44956 0.00000  0.44464 0.00000
 147  0.44626 0.00000  0.44464 0.00000
 148  0.44018 0.00000  0.44465 0.00000
 149  0.43647 0.00000  0.44465 0.00000
 150  0.44560 0.00000  0.44466 0.00000
 151  0.43968 0.00000  0.44459 0.00000
 152  0.44869 0.00000  0.44469 0.00000
 153  0.43618 0.00000  0.44466 0.00000
 154  0.44266 0.00000  0.44467 0.00000
 155  0.44244 0.00000  0.44461 0.00000
 156  0.44850 0.00000  0.44469 0.00000
 157  0.43886 0.00000  0.44467 0.00000
 158  0.44880 0.00000  0.44476 0.00000
 159  0.43878 0.00000  0.44472 0.00000
 160  0.44373 0.00000  0.44472 0.00000
 161  0.43955 0.00000  0.44479 0.00000
 162  0.44491 0.00000  0.44485 0.00000
 163  0.44619 0.00000  0.44488 0.00000
 164  0.44066 0.00000  0.44490 0.00000
 165  0.44271 0.00000  0.44491 0.00000
 166  0.44592 0.00000  0.44494 0.00000
 167  0.44641 0.00000  0.44495 0.00000
 168  0.44153 0.00000  0.44499 0.00000
 169  0.44212 0.00000  0.44501 0.00000
 170  0.43909 0.00000  0.44499 0.00000
 171  0.43756 0.00000  0.44500 0.00000
 172  0.44558 0.00000  0.44503 0.00000
 173  0.43895 0.00000  0.44497 0.00000
 174  0.44395 0.00000  0.44496 0.00000
 175  0.44093 0.00000  0.44499 0.00000
 176  0.45041 0.00000  0.44507 0.00000
 177  0.44373 0.00000  0.44504 0.00000
 178  0.44471 0.00000  0.44503 0.00000
 179  0.44237 0.00000  0.44510 0.00000
 180  0.44246 0.00000  0.44509 0.00000
 181  0.44345 0.00000  0.44516 0.00000
 182  0.44679 0.00000  0.44520 0.00000
 183  0.44904 0.00000  0.44522 0.00000
 184  0.44377 0.00000  0.44521 0.00000
 185  0.44233 0.00000  0.44522 0.00000
 186  0.44330 0.00000  0.44522 0.00000
 187  0.44870 0.00000  0.44529 0.00000
 188  0.45179 0.00000  0.44537 0.00000
 189  0.44512 0.00000  0.44535 0.00000
 190  0.44368 0.00000  0.44531 0.00000
 191  0.44402 0.00000  0.44528 0.00000
 192  0.43978 0.00000  0.44530 0.00000
 193  0.44502 0.00000  0.44533 0.00000
 194  0.44701 0.00000  0.44535 0.00000
 195  0.44739 0.00000  0.44543 0.00000
 196  0.44269 0.00000  0.44552 0.00000
 197  0.44191 0.00000  0.44549 0.00000
 198  0.43999 0.00000  0.44541 0.00000
 199  0.44427 0.00000  0.44539 0.00000
 200  0.44910 0.00000  0.44541 0.00000
 201  0.44637 0.00000  0.44543 0.00000
 202  0.44911 0.00000  0.44548 0.00000
 203  0.43953 0.00000  0.44549 0.00000
 204  0.44604 0.00000  0.44549 0.00000
 205  0.44512 0.00000  0.44551 0.00000
 206  0.44362 0.00000  0.44551 0.00000
 207  0.44741 0.00000  0.44558 0.00000
 208  0.44004 0.00000  0.44561 0.00000
 209  0.44365 0.00000  0.44558 0.00000
 210  0.44786 0.00000  0.44562 0.00000
 211  0.44716 0.00000  0.44560 0.00000
 212  0.44111 0.00000  0.44552 0.00000
 213  0.44805 0.00000  0.44550 0.00000
 214  0.44488 0.00000  0.44552 0.00000
 215  0.44265 0.00000  0.44550 0.00000
 216  0.44233 0.00000  0.44549 0.00000
 217  0.44833 0.00000  0.44556 0.00000
 218  0.44165 0.00000  0.44555 0.00000
 219  0.44450 0.00000  0.44547 0.00000
 220  0.44142 0.00000  0.44551 0.00000
 221  0.44462 0.00000  0.44552 0.00000
 222  0.44460 0.00000  0.44552 0.00000
 223  0.44452 0.00000  0.44555 0.00000
 224  0.44563 0.00000  0.44550 0.00000
 225  0.44845 0.00000  0.44548 0.00000
 226  0.44223 0.00000  0.44551 0.00000
 227  0.44407 0.00000  0.44550 0.00000
 228  0.44523 0.00000  0.44551 0.00000
 229  0.43686 0.00000  0.44549 0.00000
 230  0.44069 0.00000  0.44551 0.00000
 231  0.44480 0.00000  0.44551 0.00000
 232  0.44469 0.00000  0.44553 0.00000
 233  0.44771 0.00000  0.44559 0.00000
 234  0.44110 0.00000  0.44560 0.00000
 235  0.44398 0.00000  0.44562 0.00000
 236  0.44209 0.00000  0.44553 0.00000
 237  0.43921 0.00000  0.44548 0.00000
 238  0.44935 0.00000  0.44550 0.00000
 239  0.44332 0.00000  0.44550 0.00000
 240  0.44642 0.00000  0.44557 0.00000
 241  0.44562 0.00000  0.44561 0.00000
 242  0.44342 0.00000  0.44559 0.00000
 243  0.44811 0.00000  0.44561 0.00000
 244  0.44065 0.00000  0.44558 0.00000
 245  0.44300 0.00000  0.44560 0.00000
 246  0.44393 0.00000  0.44566 0.00000
 247  0.44792 0.00000  0.44566 0.00000
 248  0.44414 0.00000  0.44562 0.00000
 249  0.44774 0.00000  0.44568 0.00000
 250  0.44136 0.00000  0.44565 0.00000
 251  0.44885 0.00000  0.44576 0.00000
 252  0.44200 0.00000  0.44577 0.00000
 253  0.44200 0.00000  0.44580 0.00000
 254  0.44257 0.00000  0.44585 0.00000
 255  0.44754 0.00000  0.44579 0.00000
 256  0.44694 0.00000  0.44576 0.00000
 257  0.44630 0.00000  0.44577 0.00000
 258  0.44120 0.00000  0.44576 0.00000
 259  0.44699 0.00000  0.44580 0.00000
 260  0.44352 0.00000  0.44580 0.00000
 261  0.44296 0.00000  0.44579 0.00000
 262  0.44558 0.00000  0.44584 0.00000
 263  0.44066 0.00000  0.44585 0.00000
 264  0.43855 0.00000  0.44585 0.00000
 265  0.44461 0.00000  0.44583 0.00000
 266  0.44581 0.00000  0.44587 0.00000
 267  0.44716 0.00000  0.44589 0.00000
 268  0.44366 0.00000  0.44590 0.00000
 269  0.44397 0.00000  0.44591 0.00000
 270  0.43523 0.00000  0.44585 0.00000
 271  0.44844 0.00000  0.44590 0.00000
 272  0.44469 0.00000  0.44591 0.00000
 273  0.44296 0.00000  0.44593 0.00000
 274  0.44372 0.00000  0.44597 0.00000
 275  0.44976 0.00000  0.44600 0.00000
 276  0.44319 0.00000  0.44595 0.00000
 277  0.44352 0.00000  0.44591 0.00000
 278  0.44547 0.00000  0.44589 0.00000
 279  0.44698 0.00000  0.44589 0.00000
 280  0.44651 0.00000  0.44594 0.00000
 281  0.44245 0.00000  0.44604 0.00000
 282  0.45220 0.00000  0.44603 0.00000
 283  0.44597 0.00000  0.44601 0.00000
 284  0.44575 0.00000  0.44607 0.00000
 285  0.43944 0.00000  0.44609 0.00000
 286  0.44434 0.00000  0.44611 0.00000
 287  0.44788 0.00000  0.44607 0.00000
 288  0.44367 0.00000  0.44609 0.00000
 289  0.44722 0.00000  0.44607 0.00000
 290  0.44630 0.00000  0.44603 0.00000
 291  0.44340 0.00000  0.44594 0.00000
 292  0.43890 0.00000  0.44597 0.00000
 293  0.44653 0.00000  0.44596 0.00000
 294  0.44193 0.00000  0.44602 0.00000
 295  0.44401 0.00000  0.44603 0.00000
 296  0.44433 0.00000  0.44603 0.00000
 297  0.44396 0.00000  0.44604 0.00000
 298  0.44977 0.00000  0.44608 0.00000
 299  0.44624 0.00000  0.44601 0.00000
 300  0.44957 0.00000  0.44599 0.00000
 301  0.44021 0.00000  0.44593 0.00000
 302  0.44814 0.00000  0.44594 0.00000
 303  0.44595 0.00000  0.44599 0.00000
 304  0.44134 0.00000  0.44603 0.00000
 305  0.44819 0.00000  0.44601 0.00000
 306  0.44742 0.00000  0.44598 0.00000
 307  0.44372 0.00000  0.44597 0.00000
 308  0.44683 0.00000  0.44603 0.00000
 309  0.44581 0.00000  0.44604 0.00000
 310  0.45029 0.00000  0.44606 0.00000
 311  0.44097 0.00000  0.44599 0.00000
 312  0.44757 0.00000  0.44603 0.00000
 313  0.44807 0.00000  0.44608 0.00000
 314  0.44603 0.00000  0.44606 0.00000
 315  0.44527 0.00000  0.44603 0.00000
 316  0.44475 0.00000  0.44611 0.00000
 317  0.44651 0.00000  0.44613 0.00000
 318  0.44605 0.00000  0.44609 0.00000
 319  0.45264 0.00000  0.44608 0.00000
 320  0.44387 0.00000  0.44608 0.00000
 321  0.44853 0.00000  0.44617 0.00000
 322  0.44979 0.00000  0.44625 0.00000
 323  0.45042 0.00000  0.44625 0.00000
 324  0.43777 0.00000  0.44620 0.00000
 325  0.45041 0.00000  0.44618 0.00000
 326  0.44363 0.00000  0.44615 0.00000
 327  0.44567 0.00000  0.44609 0.00000
 328  0.44607 0.00000  0.44607 0.00000
 329  0.44013 0.00000  0.44607 0.00000
 330  0.44741 0.00000  0.44609 0.00000
 331  0.44629 0.00000  0.44603 0.00000
 332  0.44595 0.00000  0.44610 0.00000
 333  0.44635 0.00000  0.44611 0.00000
 334  0.44118 0.00000  0.44605 0.00000
 335  0.44790 0.00000  0.44612 0.00000
 336  0.44586 0.00000  0.44615 0.00000
 337  0.44347 0.00000  0.44620 0.00000
 338  0.44479 0.00000  0.44619 0.00000
 339  0.44614 0.00000  0.44616 0.00000
 340  0.44163 0.00000  0.44611 0.00000
 341  0.44301 0.00000  0.44609 0.00000
 342  0.44378 0.00000  0.44603 0.00000
 343  0.44508 0.00000  0.44600 0.00000
 344  0.44014 0.00000  0.44601 0.00000
 345  0.44583 0.00000  0.44600 0.00000
 346  0.44366 0.00000  0.44599 0.00000
 347  0.44767 0.00000  0.44601 0.00000
 348  0.45042 0.00000  0.44607 0.00000
 349  0.45009 0.00000  0.44608 0.00000
 350  0.45005 0.00000  0.44606 0.00000
 351  0.44964 0.00000  0.44605 0.00000
 352  0.44699 0.00000  0.44604 0.00000
 353  0.44761 0.00000  0.44613 0.00000
 354  0.44042 0.00000  0.44606 0.00000
 355  0.44031 0.00000  0.44604 0.00000
 356  0.44414 0.00000  0.44604 0.00000
 357  0.44811 0.00000  0.44602 0.00000
 358  0.44076 0.00000  0.44602 0.00000
 359  0.44363 0.00000  0.44605 0.00000
 360  0.44704 0.00000  0.44610 0.00000
 361  0.44706 0.00000  0.44610 0.00000
 362  0.44214 0.00000  0.44609 0.00000
 363  0.44434 0.00000  0.44608 0.00000
 364  0.44133 0.00000  0.44604 0.00000
 365  0.44177 0.00000  0.44604 0.00000
 366  0.43777 0.00000  0.44605 0.00000
 367  0.44570 0.00000  0.44601 0.00000
 368  0.44665 0.00000  0.44599 0.00000
 369  0.44365 0.00000  0.44606 0.00000
 370  0.44590 0.00000  0.44611 0.00000
 371  0.44569 0.00000  0.44606 0.00000
 372  0.44137 0.00000  0.44607 0.00000
 373  0.44579 0.00000  0.44602 0.00000
 374  0.45136 0.00000  0.44612 0.00000
 375  0.44741 0.00000  0.44615 0.00000
 376  0.44375 0.00000  0.44608 0.00000
 377  0.44475 0.00000  0.44602 0.00000
 378  0.44290 0.00000  0.44602 0.00000
 379  0.44689 0.00000  0.44606 0.00000
 380  0.43465 0.00000  0.44594 0.00000
 381  0.44726 0.00000  0.44600 0.00000
 382  0.44794 0.00000  0.44605 0.00000
 383  0.45148 0.00000  0.44610 0.00000
 384  0.44709 0.00000  0.44613 0.00000
 385  0.45097 0.00000  0.44620 0.00000
 386  0.44547 0.00000  0.44621 0.00000
 387  0.44775 0.00000  0.44626 0.00000
 388  0.44278 0.00000  0.44623 0.00000
 389  0.44377 0.00000  0.44617 0.00000
 390  0.44701 0.00000  0.44623 0.00000
 391  0.44195 0.00000  0.44627 0.00000
 392  0.44202 0.00000  0.44625 0.00000
 393  0.44330 0.00000  0.44620 0.00000
 394  0.43843 0.00000  0.44613 0.00000
 395  0.45006 0.00000  0.44614 0.00000
 396  0.44048 0.00000  0.44617 0.00000
 397  0.44291 0.00000  0.44618 0.00000
 398  0.44464 0.00000  0.44620 0.00000
 399  0.43952 0.00000  0.44605 0.00000
 400  0.44597 0.00000  0.44607 0.00000
 401  0.44384 0.00000  0.44611 0.00000
 402  0.44643 0.00000  0.44613 0.00000
 403  0.44202 0.00000  0.44616 0.00000
 404  0.44462 0.00000  0.44627 0.00000
 405  0.45058 0.00000  0.44626 0.00000
 406  0.45225 0.00000  0.44634 0.00000
 407  0.44054 0.00000  0.44632 0.00000
 408  0.44745 0.00000  0.44637 0.00000
 409  0.44886 0.00000  0.44635 0.00000
 410  0.44297 0.00000  0.44632 0.00000
 411  0.44293 0.00000  0.44629 0.00000
 412  0.44891 0.00000  0.44636 0.00000
 413  0.45108 0.00000  0.44633 0.00000
 414  0.44150 0.00000  0.44632 0.00000
 415  0.44788 0.00000  0.44632 0.00000
 416  0.44307 0.00000  0.44633 0.00000
 417  0.44088 0.00000  0.44625 0.00000
 418  0.44556 0.00000  0.44629 0.00000
 419  0.44162 0.00000  0.44623 0.00000
 420  0.44582 0.00000  0.44629 0.00000
 421  0.44789 0.00000  0.44628 0.00000
 422  0.44529 0.00000  0.44625 0.00000
 423  0.44642 0.00000  0.44627 0.00000
 424  0.44469 0.00000  0.44621 0.00000
 425  0.44609 0.00000  0.44616 0.00000
 426  0.44646 0.00000  0.44621 0.00000
 427  0.44678 0.00000  0.44613 0.00000
 428  0.44495 0.00000  0.44615 0.00000
 429  0.45290 0.00000  0.44616 0.00000
 430  0.44625 0.00000  0.44623 0.00000
 431  0.43974 0.00000  0.44618 0.00000
 432  0.43685 0.00000  0.44620 0.00000
 433  0.44182 0.00000  0.44619 0.00000
 434  0.44222 0.00000  0.44615 0.00000
 435  0.45026 0.00000  0.44617 0.00000
 436  0.44504 0.00000  0.44614 0.00000
 437  0.44297 0.00000  0.44614 0.00000
 438  0.44780 0.00000  0.44616 0.00000
 439  0.43798 0.00000  0.44610 0.00000
 440  0.43753 0.00000  0.44610 0.00000
 441  0.44071 0.00000  0.44608 0.00000
 442  0.44671 0.00000  0.44605 0.00000
 443  0.45245 0.00000  0.44610 0.00000
 444  0.44762 0.00000  0.44620 0.00000
 445  0.44423 0.00000  0.44615 0.00000
 446  0.44264 0.00000  0.44613 0.00000
 447  0.44625 0.00000  0.44613 0.00000
 448  0.44217 0.00000  0.44617 0.00000
 449  0.44980 0.00000  0.44621 0.00000
 450  0.44180 0.00000  0.44618 0.00000
 451  0.44301 0.00000  0.44620 0.00000
 452  0.44437 0.00000  0.44623 0.00000
 453  0.44796 0.00000  0.44617 0.00000
 454  0.44827 0.00000  0.44619 0.00000
 455  0.44571 0.00000  0.44622 0.00000
 456  0.44017 0.00000  0.44620 0.00000
 457  0.44250 0.00000  0.44627 0.00000
 458  0.44663 0.00000  0.44627 0.00000
 459  0.44960 0.00000  0.44626 0.00000
 460  0.44400 0.00000  0.44627 0.00000
 461  0.45144 0.00000  0.44624 0.00000
 462  0.44502 0.00000  0.44619 0.00000
 463  0.43581 0.00000  0.44619 0.00000
 464  0.43894 0.00000  0.44617 0.00000
 465  0.44326 0.00000  0.44615 0.00000
 466  0.44187 0.00000  0.44614 0.00000
 467  0.44147 0.00000  0.44613 0.00000
 468  0.44857 0.00000  0.44616 0.00000
 469  0.44063 0.00000  0.44618 0.00000
 470  0.44390 0.00000  0.44617 0.00000
 471  0.44357 0.00000  0.44614 0.00000
 472  0.44621 0.00000  0.44610 0.00000
 473  0.44706 0.00000  0.44604 0.00000
