loading data...Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 50
Twoway_Layer::random_fill(): limit = 0.141421 ni = 50 no = 1
iter  ---- train ----  ---- test -----
         rmse     auc     rmse     auc
 134  0.61908 0.00000  0.61394 0.06182
 135  0.62007 0.00000  0.61393 0.06182
 136  0.62049 0.00000  0.61396 0.06182
 137  0.61985 0.00000  0.61400 0.06183
 138  0.62495 0.00000  0.61413 0.06183
 139  0.62734 0.00000  0.61421 0.06183
 140  0.62191 0.00000  0.61425 0.06183
 141  0.62596 0.00000  0.61434 0.06183
 142  0.62407 0.00000  0.61435 0.06183
 143  0.62699 0.00000  0.61444 0.06184
 144  0.62732 0.00000  0.61443 0.06184
 145  0.61987 0.00000  0.61440 0.06184
 146  0.62116 0.00000  0.61440 0.06184
 147  0.62073 0.00000  0.61438 0.06185
 148  0.62293 0.00000  0.61442 0.06185
 149  0.62673 0.00000  0.61449 0.06185
 150  0.62265 0.00000  0.61448 0.06186
 151  0.61732 0.00000  0.61448 0.06186
 152  0.62682 0.00000  0.61460 0.06186
 153  0.62533 0.00000  0.61461 0.06187
 154  0.61852 0.00000  0.61456 0.06187
 155  0.62380 0.00000  0.61463 0.06188
 156  0.61955 0.00000  0.61466 0.06188
 157  0.61997 0.00000  0.61466 0.06188
 158  0.62881 0.00000  0.61472 0.06188
 159  0.61893 0.00000  0.61467 0.06189
 160  0.62136 0.00000  0.61478 0.06189
 161  0.62097 0.00000  0.61474 0.06189
 162  0.61754 0.00000  0.61470 0.06190
 163  0.62260 0.00000  0.61473 0.06190
 164  0.62060 0.00000  0.61472 0.06191
 165  0.62545 0.00000  0.61482 0.06191
 166  0.62305 0.00000  0.61481 0.06191
 167  0.62657 0.00000  0.61488 0.06191
 168  0.62257 0.00000  0.61489 0.06192
 169  0.62221 0.00000  0.61488 0.06192
 170  0.61793 0.00000  0.61486 0.06193
 171  0.62288 0.00000  0.61492 0.06193
 172  0.62533 0.00000  0.61501 0.06193
 173  0.62352 0.00000  0.61503 0.06193
 174  0.63009 0.00000  0.61509 0.06193
 175  0.62443 0.00000  0.61508 0.06194
 176  0.62512 0.00000  0.61514 0.06194
 177  0.62498 0.00000  0.61515 0.06195
 178  0.62748 0.00000  0.61520 0.06195
 179  0.62030 0.00000  0.61518 0.06195
 180  0.62372 0.00000  0.61517 0.06196
 181  0.62039 0.00000  0.61513 0.06196
 182  0.63145 0.00000  0.61520 0.06196
 183  0.62236 0.00000  0.61523 0.06196
 184  0.62397 0.00000  0.61529 0.06196
 185  0.62711 0.00000  0.61533 0.06197
 186  0.62113 0.00000  0.61528 0.06197
 187  0.62503 0.00000  0.61526 0.06198
 188  0.62561 0.00000  0.61530 0.06198
 189  0.62220 0.00000  0.61530 0.06198
 190  0.62043 0.00000  0.61529 0.06199
 191  0.62802 0.00000  0.61536 0.06199
 192  0.62509 0.00000  0.61544 0.06199
 193  0.62912 0.00000  0.61549 0.06199
 194  0.62437 0.00000  0.61551 0.06199
 195  0.62230 0.00000  0.61554 0.06200
 196  0.62045 0.00000  0.61552 0.06200
 197  0.61953 0.00000  0.61545 0.06200
 198  0.62306 0.00000  0.61547 0.06200
 199  0.62575 0.00000  0.61548 0.06201
 200  0.62584 0.00000  0.61555 0.06201
 201  0.61858 0.00000  0.61549 0.06201
 202  0.62572 0.00000  0.61557 0.06201
 203  0.62457 0.00000  0.61566 0.06201
 204  0.63057 0.00000  0.61565 0.06201
 205  0.62734 0.00000  0.61571 0.06201
 206  0.62332 0.00000  0.61576 0.06202
 207  0.62433 0.00000  0.61570 0.06202
 208  0.62140 0.00000  0.61570 0.06202
 209  0.62246 0.00000  0.61570 0.06202
 210  0.62528 0.00000  0.61566 0.06202
 211  0.62524 0.00000  0.61573 0.06203
 212  0.62512 0.00000  0.61575 0.06203
 213  0.62451 0.00000  0.61578 0.06203
 214  0.62574 0.00000  0.61581 0.06203
 215  0.62559 0.00000  0.61578 0.06203
 216  0.62987 0.00000  0.61583 0.06204
 217  0.62353 0.00000  0.61583 0.06204
 218  0.61945 0.00000  0.61582 0.06204
 219  0.62162 0.00000  0.61583 0.06204
 220  0.62579 0.00000  0.61582 0.06205
 221  0.62847 0.00000  0.61590 0.06204
 222  0.63060 0.00000  0.61599 0.06205
 223  0.62708 0.00000  0.61601 0.06205
 224  0.61886 0.00000  0.61591 0.06206
 225  0.62504 0.00000  0.61596 0.06206
 226  0.62597 0.00000  0.61597 0.06206
 227  0.62009 0.00000  0.61601 0.06207
 228  0.62862 0.00000  0.61612 0.06207
 229  0.62569 0.00000  0.61605 0.06207
 230  0.63353 0.00000  0.61612 0.06207
 231  0.62037 0.00000  0.61612 0.06207
 232  0.62486 0.00000  0.61611 0.06208
 233  0.62832 0.00000  0.61617 0.06208
 234  0.62356 0.00000  0.61613 0.06208
 235  0.62862 0.00000  0.61617 0.06208
 236  0.62382 0.00000  0.61614 0.06208
 237  0.62407 0.00000  0.61616 0.06209
 238  0.62150 0.00000  0.61610 0.06209
 239  0.62488 0.00000  0.61610 0.06209
 240  0.62869 0.00000  0.61618 0.06210
 241  0.63270 0.00000  0.61625 0.06210
 242  0.62499 0.00000  0.61623 0.06210
 243  0.62837 0.00000  0.61627 0.06210
 244  0.62641 0.00000  0.61629 0.06210
 245  0.62112 0.00000  0.61623 0.06211
 246  0.61759 0.00000  0.61615 0.06211
 247  0.62269 0.00000  0.61615 0.06211
 248  0.62469 0.00000  0.61617 0.06211
 249  0.62065 0.00000  0.61613 0.06212
 250  0.62468 0.00000  0.61609 0.06212
 251  0.62601 0.00000  0.61616 0.06212
 252  0.62698 0.00000  0.61625 0.06212
 253  0.62457 0.00000  0.61629 0.06213
 254  0.62297 0.00000  0.61629 0.06213
 255  0.62830 0.00000  0.61631 0.06213
 256  0.61838 0.00000  0.61625 0.06214
 257  0.62659 0.00000  0.61627 0.06214
 258  0.62028 0.00000  0.61623 0.06214
 259  0.62063 0.00000  0.61616 0.06214
 260  0.61903 0.00000  0.61614 0.06214
 261  0.62255 0.00000  0.61617 0.06214
 262  0.62609 0.00000  0.61621 0.06214
 263  0.62732 0.00000  0.61627 0.06215
 264  0.62738 0.00000  0.61630 0.06215
 265  0.62467 0.00000  0.61632 0.06215
 266  0.62829 0.00000  0.61637 0.06215
 267  0.62701 0.00000  0.61639 0.06215
 268  0.62550 0.00000  0.61641 0.06215
 269  0.62497 0.00000  0.61642 0.06215
 270  0.62860 0.00000  0.61646 0.06215
 271  0.61961 0.00000  0.61641 0.06216
 272  0.62392 0.00000  0.61640 0.06216
 273  0.63039 0.00000  0.61647 0.06216
 274  0.62773 0.00000  0.61653 0.06216
 275  0.62512 0.00000  0.61656 0.06216
 276  0.62809 0.00000  0.61658 0.06216
 277  0.62497 0.00000  0.61656 0.06216
 278  0.62157 0.00000  0.61655 0.06217
 279  0.62475 0.00000  0.61659 0.06217
 280  0.62655 0.00000  0.61658 0.06217
 281  0.62371 0.00000  0.61662 0.06217
 282  0.62931 0.00000  0.61665 0.06217
 283  0.62206 0.00000  0.61657 0.06218
 284  0.62621 0.00000  0.61664 0.06218
